epsilon_pixels,epsilon,step_size,steps,test_samples,accuracy
2,0.00784313725490196,0.00196078431372549,20,10000,0.7468
4,0.01568627450980392,0.00392156862745098,20,10000,0.6584
8,0.03137254901960784,0.00784313725490196,20,10000,0.4438
12,0.04705882352941176,0.01176470588235294,20,10000,0.2411
16,0.06274509803921569,0.01568627450980392,20,10000,0.1022
