checkpoint,attack,epsilon_pixels,epsilon,step_size,accuracy,seconds
epoch09.pt,pgd20,2,0.00784313725490196,0.00196078431372549,0.7468,62.45802380004898
epoch09.pt,pgd20,4,0.01568627450980392,0.00392156862745098,0.6584,62.0408352999948
epoch09.pt,pgd20,8,0.03137254901960784,0.00784313725490196,0.4438,61.99892030004412
epoch09.pt,pgd20,12,0.047058823529411764,0.011764705882352941,0.2411,62.04164970002603
epoch09.pt,pgd20,16,0.06274509803921569,0.01568627450980392,0.1022,62.065440400037915
