epoch,batch,global_step,lr,window_samples,train_adv_loss,train_adv_acc,free_gradient_cosine,free_gradient_sign_agreement,free_prediction_disagreement,free_attack_loss_gain,free_boundary_fraction,free_delta_linf,control_gradient_participation_ratio,control_gradient_entropy,detector_baseline,detector_score,detector_threshold,detector_pgd10_acc,detector_seconds,observer_pgd10_acc,observer_pgd10_seconds,intervention_triggered
1,20,20,0.0010795454545454546,2560,2.907265472412109,0.0,0.03187079140916467,0.5024397730827331,0.4140625,0.6017043173313141,0.9156419306993484,0.03137257695198059,0.25078933835029604,0.8862638056278229,nan,nan,0.16632988750934596,nan,0.0,nan,0.0,0
1,40,40,0.002215909090909091,2560,2.6236923217773436,0.000390625,0.09285277482122183,0.5183265894651413,0.357421875,0.39341910034418104,0.9148267358541489,0.03137257695198059,0.24778423607349395,0.885318499803543,nan,nan,0.16632988750934596,nan,0.0,nan,0.0,0
1,60,60,0.0033522727272727276,2560,2.364559364318848,0.069140625,0.332516023516655,0.5807675838470459,0.1859375,0.16142713315784932,0.9135180413722992,0.03137257695198059,0.21480142325162888,0.872293335199356,nan,nan,0.16632988750934596,nan,0.0,nan,0.0,0
1,80,80,0.004488636363636363,2560,2.2785770416259767,0.120703125,0.5914615720510483,0.6564819544553757,0.17265625,0.09917548038065434,0.9138528406620026,0.03137257695198059,0.16586173623800277,0.844718211889267,0.09285277482122183,-0.4986087972298265,0.16632988750934596,nan,0.0,nan,0.0,0
1,100,100,0.005625,2560,2.2257450103759764,0.14609375,0.7398094117641449,0.7147796839475632,0.251171875,0.11812529414892196,0.9143165737390518,0.03137257695198059,0.13439912311732768,0.8181935340166092,0.21268439916893842,-0.5271250125952065,0.16632988750934596,nan,0.0,nan,0.0,0
1,120,120,0.006761363636363636,2560,2.208541679382324,0.168359375,0.8038820862770081,0.7430910974740982,0.19375,0.11855260170996189,0.9137531489133834,0.03137257695198059,0.1057922039180994,0.7880946129560471,0.332516023516655,-0.4713660627603531,0.16632988750934596,nan,0.0,nan,0.0,0
1,140,140,0.007897727272727272,2560,2.1965707778930663,0.154296875,0.8305956900119782,0.7611641079187393,0.194921875,0.12697633914649487,0.9145786464214325,0.03137257695198059,0.08679339215159416,0.7617889523506165,0.5914615720510483,-0.23913411796092987,0.16632988750934596,nan,0.0,nan,0.0,0
1,160,160,0.009034090909090908,2560,2.185690689086914,0.180078125,0.8538399815559388,0.7783197045326233,0.204296875,0.12547346167266368,0.9110056698322296,0.03137257695198059,0.07491732910275459,0.7429538339376449,0.7398094117641449,-0.11403056979179382,0.16632988750934596,nan,0.0,nan,0.0,0
1,180,180,0.010170454545454547,2560,2.157035303115845,0.192578125,0.8690505474805832,0.7887433558702469,0.198828125,0.1413120448589325,0.9105615168809891,0.03137257695198059,0.06910010725259781,0.7287979304790497,0.8038820862770081,-0.06516846120357511,0.16632988750934596,nan,0.0,nan,0.0,0
1,200,200,0.011306818181818182,2560,2.14468994140625,0.1953125,0.8745857954025269,0.8011079400777816,0.208984375,0.16064937859773637,0.9131523370742798,0.03137257695198059,0.0730992864817381,0.7381891250610352,0.8305956900119782,-0.043990105390548706,0.16632988750934596,nan,0.0,nan,0.0,0
1,220,220,0.012443181818181819,2560,2.1217856407165527,0.1859375,0.8751042187213898,0.8107242792844772,0.231640625,0.17187440395355225,0.9118353664875031,0.03137257695198059,0.074535396322608,0.7435940951108932,0.8538399815559388,-0.021264237165451005,0.16632988750934596,nan,0.0,nan,0.0,0
1,240,240,0.013579545454545454,2560,2.101754570007324,0.216796875,0.8848363071680069,0.8183366298675537,0.23046875,0.19655464738607406,0.9160578668117523,0.03137257695198059,0.07436780594289302,0.7474020540714263,0.8690505474805832,-0.015785759687423684,0.16632988750934596,nan,0.0,nan,0.0,0
1,260,260,0.014715909090909089,2560,2.0885058403015138,0.20546875,0.888405230641365,0.8270553797483444,0.189453125,0.20175822600722312,0.9137559533119202,0.03137257695198059,0.0755391351878643,0.7512947797775269,0.8745857954025269,-0.013819435238838107,0.16632988750934596,nan,0.0,nan,0.0,0
1,280,280,0.015852272727272725,2560,2.059839677810669,0.21640625,0.8942201405763626,0.8265499323606491,0.1921875,0.19341120943427087,0.9204721003770828,0.03137257695198059,0.06972558572888374,0.739906159043312,0.8751042187213898,-0.019115921854972795,0.16632988750934596,nan,0.0,nan,0.0,0
1,300,300,0.016988636363636362,2560,2.0450270652770994,0.212109375,0.8883779346942902,0.8225348323583603,0.21796875,0.22115752175450326,0.9206454128026962,0.03137257695198059,0.06659522913396358,0.739893102645874,0.8848363071680069,-0.0035416275262832864,0.16632988750934596,nan,0.0,nan,0.0,0
