epoch,attack_mode,train_adv_loss,train_adv_acc,free_gradient_cosine,free_gradient_sign_agreement,free_prediction_disagreement,free_attack_loss_gain,free_boundary_fraction,free_delta_linf,control_gradient_participation_ratio,control_gradient_entropy,epoch_seconds,lr_start,lr_end,batches_processed,epoch_completed,val_clean_acc,val_pgd10_acc,intervention_triggered,trigger_epoch,trigger_global_step,rolled_back_to_global_step,pgd2_start_global_step,post_trigger_pgd_batches,abandoned_fgsm_batches,abandoned_fgsm_seconds,total_training_seconds,clean_eval_seconds,pgd_monitor_seconds,pgd_monitor_used_for_trigger
11,fgsm_zero,1.622375092845493,0.38168888889418706,0.8054408412297567,0.8022031010627747,0.28786666666931576,0.41340347663031685,0.9070007205327352,0.03137257695198059,0.04128560368882285,0.7060127374966939,32.634312900016084,0.19999999999999998,0.21994318181818182,352,1,0.5658,0.31171875,0,,,,,0,0,0.0,32.634312900016084,9.01798289999715,12.292797800007975,0
12,fgsm_zero,1.6171658814748129,0.38160000001589456,0.7993431385146247,0.801514558590783,0.29155555555555557,0.414174782260259,0.9082529708120558,0.03137257695198059,0.04140237210591634,0.7064007468541463,33.016208500019275,0.21999999999999997,0.2399431818181818,352,1,0.5834,0.3515625,0,,,,,0,0,0.0,33.016208500019275,9.17919160000747,12.524069999984931,0
13,fgsm_zero,1.6309161330329047,0.37977777777247956,0.8030909167925516,0.8025521107355753,0.28766666667991214,0.41485342313448587,0.9068563632117378,0.03137257695198059,0.04127849929597643,0.705798855442471,32.98625020001782,0.24,0.2599431818181818,352,1,0.6032,0.3640625,0,,,,,0,0,0.0,32.98625020001782,9.624277099996107,12.182457399991108,0
14,fgsm_zero,1.6253457028283014,0.38315555556615194,0.7974292069647048,0.7995601040204366,0.2875111111111111,0.4172827060540517,0.9061184869660271,0.03137257695198059,0.04036223837335905,0.7034600359068977,33.70746939998935,0.26,0.2799431818181818,352,1,0.542,0.315625,0,,,,,0,0,0.0,33.70746939998935,9.240973900014069,12.219924599980004,0
15,fgsm_zero,1.6323145385742188,0.37844444444444447,0.8003616422971089,0.8019008304172092,0.29313333331743874,0.41868001422352263,0.9089624815305074,0.03137257695198059,0.04213039811717139,0.7077781442536248,32.9030493000173,0.27999999999999997,0.2999431818181818,352,1,0.5878,0.32421875,0,,,,,0,0,0.0,32.9030493000173,8.842958900000667,12.159146799996961,0
16,fgsm_zero,1.6294845041275023,0.3801333333598243,0.7969874037742615,0.799165354845259,0.2904666666507721,0.41711507363319394,0.9090565454906887,0.03137257695198059,0.040316757414738336,0.7034646258778042,32.96863689998281,0.3,0.2800568181818182,352,1,0.605,0.34375,0,,,,,0,0,0.0,32.96863689998281,8.946333699976094,11.74952100001974,0
17,fgsm_then_pgd2_same_epoch_no_replay,1.6013397787094117,0.38906666668785944,0.7547502745469411,0.7877117462688022,0.28857777777777777,0.4179240043746101,0.9079133732795716,0.03137257695198059,0.0361586417214738,0.692896178150177,32.89737829999649,0.27999999999999997,0.2600568181818182,352,1,0.5988,0.2796875,1,17,5984,,5984,0,0,0.0,32.89737829999649,8.737959699996281,12.21986789998482,0
18,pgd2,1.4895394731945462,0.4377111111111111,nan,nan,nan,nan,nan,nan,nan,nan,43.94737619999796,0.26,0.2400568181818182,nan,nan,0.6294,0.3328125,0,17,5984,,,0,0,0.0,43.94737619999796,9.201363300002413,12.368662399996538,0
19,pgd2,1.455389443206787,0.44935555555555556,nan,nan,nan,nan,nan,nan,nan,nan,43.64541259998805,0.24,0.22005681818181821,nan,nan,0.668,0.36015625,0,17,5984,,,0,0,0.0,43.64541259998805,9.399553399998695,12.642455699999118,0
20,pgd2,1.4270414147059123,0.45964444444444447,nan,nan,nan,nan,nan,nan,nan,nan,43.992844400025206,0.22,0.20005681818181814,nan,nan,0.6808,0.35625,0,17,5984,,,0,0,0.0,43.992844400025206,9.41418990000966,12.435263499995926,0
21,pgd2,1.3989892497592502,0.46871111111111113,nan,nan,nan,nan,nan,nan,nan,nan,44.563115500001004,0.2,0.18005681818181815,nan,nan,0.6768,0.36796875,0,17,5984,,,0,0,0.0,44.563115500001004,9.94805860001361,12.146555099985562,0
22,pgd2,1.3704941186481052,0.47957777777777777,nan,nan,nan,nan,nan,nan,nan,nan,44.00982269999804,0.18000000000000002,0.16005681818181816,nan,nan,0.701,0.36875,0,17,5984,,,0,0,0.0,44.00982269999804,8.994309700006852,12.668017300020438,0
23,pgd2,1.339802680460612,0.49415555555555557,nan,nan,nan,nan,nan,nan,nan,nan,43.55614820000483,0.16000000000000003,0.14005681818181817,nan,nan,0.698,0.39375,0,17,5984,,,0,0,0.0,43.55614820000483,9.2239697999903,11.985787500016158,0
24,pgd2,1.3069365265316433,0.5006,nan,nan,nan,nan,nan,nan,nan,nan,43.64508119999664,0.13999999999999996,0.12005681818181817,nan,nan,0.7214,0.40546875,0,17,5984,,,0,0,0.0,43.64508119999664,9.5706949000014,11.776238799997373,0
25,pgd2,1.2689296870761448,0.5169333333333334,nan,nan,nan,nan,nan,nan,nan,nan,44.50845219998155,0.11999999999999997,0.10005681818181818,nan,nan,0.7086,0.39609375,0,17,5984,,,0,0,0.0,44.50845219998155,9.884208699979354,12.647787299996708,0
26,pgd2,1.225817959827847,0.5308222222222222,nan,nan,nan,nan,nan,nan,nan,nan,43.80819419998443,0.09999999999999998,0.08005681818181817,nan,nan,0.7514,0.4109375,0,17,5984,,,0,0,0.0,43.80819419998443,9.418838799989317,11.989844900002936,0
27,pgd2,1.1794905649185181,0.5499333333333334,nan,nan,nan,nan,nan,nan,nan,nan,44.08073340001283,0.07999999999999997,0.06005681818181818,nan,nan,0.7708,0.41328125,0,17,5984,,,0,0,0.0,44.08073340001283,8.946185900014825,11.943101999990176,0
28,pgd2,1.122878865623474,0.5692444444444444,nan,nan,nan,nan,nan,nan,nan,nan,43.73962539999047,0.059999999999999984,0.040056818181818186,nan,nan,0.7846,0.45234375,0,17,5984,,,0,0,0.0,43.73962539999047,8.975830099981977,11.97558410000056,0
29,pgd2,1.0423324938880072,0.5958444444444444,nan,nan,nan,nan,nan,nan,nan,nan,43.70072110000183,0.03999999999999999,0.020056818181818193,nan,nan,0.8,0.45390625,0,17,5984,,,0,0,0.0,43.70072110000183,9.128451999975368,11.625163400021847,0
30,pgd2,0.9488323360761006,0.6303111111111112,nan,nan,nan,nan,nan,nan,nan,nan,43.18572909999057,0.019999999999999993,5.681818181819675e-05,nan,nan,0.8236,0.4703125,0,17,5984,,,0,0,0.0,43.18572909999057,8.936301099980483,12.05876879999414,0
