feature,risk_direction,horizon_windows,eligible_windows,positive_windows,prevalence,auroc,auprc
free_gradient_cosine,-1,1,410,1,0.0024390243902439024,0.9828850855745721,0.125
free_gradient_cosine,-1,2,410,2,0.004878048780487805,0.9816176470588235,0.1625
free_gradient_cosine,-1,3,410,3,0.007317073170731708,0.9770679770679771,0.1708333333333333
free_gradient_sign_agreement,-1,1,410,1,0.0024390243902439024,0.980440097799511,0.1111111111111111
free_gradient_sign_agreement,-1,2,410,2,0.004878048780487805,0.9791666666666666,0.14646464646464646
free_gradient_sign_agreement,-1,3,410,3,0.007317073170731708,0.9713349713349714,0.14526214526214526
free_prediction_disagreement,1,1,410,1,0.0024390243902439024,0.16992665036674817,0.002932551319648094
free_prediction_disagreement,1,2,410,2,0.004878048780487805,0.25183823529411764,0.0047507331378299125
free_prediction_disagreement,1,3,410,3,0.007317073170731708,0.49713349713349714,0.05297584136293814
free_attack_loss_gain,-1,1,410,1,0.0024390243902439024,0.5745721271393643,0.005714285714285714
free_attack_loss_gain,-1,2,410,2,0.004878048780487805,0.5,0.007094430992736078
free_attack_loss_gain,-1,3,410,3,0.007317073170731708,0.3546273546273546,0.007340586719265304
free_boundary_fraction,1,1,410,1,0.0024390243902439024,0.07334963325183375,0.002631578947368421
free_boundary_fraction,1,2,410,2,0.004878048780487805,0.0857843137254902,0.003986592497503922
free_boundary_fraction,1,3,410,3,0.007317073170731708,0.1416871416871417,0.005531159855745811
control_gradient_participation_ratio,-1,1,410,1,0.0024390243902439024,0.8606356968215159,0.017241379310344827
control_gradient_participation_ratio,-1,2,410,2,0.004878048780487805,0.9068627450980392,0.041050903119868636
control_gradient_participation_ratio,-1,3,410,3,0.007317073170731708,0.8509418509418509,0.036541580673184595
control_gradient_entropy,-1,1,410,1,0.0024390243902439024,0.6356968215158925,0.006666666666666667
control_gradient_entropy,-1,2,410,2,0.004878048780487805,0.7536764705882353,0.015925925925925927
control_gradient_entropy,-1,3,410,3,0.007317073170731708,0.7289107289107289,0.01785203750116031
train_adv_loss,-1,1,410,1,0.0024390243902439024,0.9975550122249389,0.5
train_adv_loss,-1,2,410,2,0.004878048780487805,0.9963235294117647,0.5
train_adv_loss,-1,3,410,3,0.007317073170731708,0.9836199836199836,0.3833333333333333
train_adv_acc,1,1,410,1,0.0024390243902439024,0.9951100244498777,0.3333333333333333
train_adv_acc,1,2,410,2,0.004878048780487805,0.9926470588235294,0.3333333333333333
train_adv_acc,1,3,410,3,0.007317073170731708,0.972972972972973,0.25555555555555554
