epoch,attack_mode,train_adv_loss,train_adv_acc,free_gradient_cosine,free_gradient_sign_agreement,free_prediction_disagreement,free_attack_loss_gain,free_boundary_fraction,free_delta_linf,control_gradient_participation_ratio,control_gradient_entropy,epoch_seconds,lr_start,lr_end,batches_processed,epoch_completed,val_clean_acc,val_pgd10_acc,intervention_triggered,trigger_epoch,trigger_global_step,rolled_back_to_global_step,abandoned_fgsm_batches,abandoned_fgsm_seconds,total_training_seconds,clean_eval_seconds,pgd_monitor_seconds,pgd_monitor_used_for_trigger
1,fgsm_zero,2.2019897015041776,0.1731999999920527,0.7158768953058454,0.7369944574779934,0.22553333333863151,0.22465057541529337,0.9147011920928955,0.03137257695198059,0.10753150957226754,0.7747977983686659,33.34334119991399,0.0,0.019943181818181818,352,1,0.3438,0.2375,0,,,,0,0.0,33.34334119991399,8.494127699988894,11.463310800027102,0
2,fgsm_zero,1.982917763243781,0.24955555555025735,0.8996570541699728,0.8414746788342794,0.213844444445769,0.2572808651871151,0.9171641389211019,0.03137257695198059,0.059398589664697646,0.7293346375995212,31.91210359998513,0.02,0.039943181818181815,352,1,0.3734,0.25546875,0,,,,0,0.0,31.91210359998513,8.195206100004725,11.478135399986058,0
3,fgsm_zero,1.9105226210276285,0.2745333333465788,0.9000823023796082,0.847884329647488,0.2268222222301695,0.29694444438616435,0.9170621443854438,0.03137257695198059,0.05368105967111058,0.7234078278753493,31.649269300047308,0.04,0.05994318181818181,352,1,0.4194,0.29140625,0,,,,0,0.0,31.649269300047308,8.131780800060369,11.018542099976912,0
4,fgsm_zero,1.829725493092007,0.3015111111111111,0.8866025168736775,0.8403633237202962,0.2489333333465788,0.33429212237464057,0.9180401677237616,0.03137257695198059,0.05314049851960606,0.7268064453125,31.638470600009896,0.06,0.07994318181818182,352,1,0.5042,0.29453125,0,,,,0,0.0,31.638470600009896,8.200257300049998,11.481736900052056,0
5,fgsm_zero,1.7600082452138266,0.32968888888888886,0.8720101135253906,0.8319456576241387,0.2612888888809416,0.3625976175043318,0.917445556365119,0.03137257695198059,0.05290025554564264,0.7284574683825175,31.44890509999823,0.08,0.0999431818181818,352,1,0.5036,0.31328125,0,,,,0,0.0,31.44890509999823,7.943006100016646,11.12793039996177,0
6,fgsm_zero,1.7078243184831408,0.35073333332273693,0.8578015416145325,0.8233139142248366,0.2744000000105964,0.3788524154133267,0.9164414476288689,0.03137257695198059,0.05026342866354518,0.7244972259415521,31.39988879999146,0.09999999999999999,0.11994318181818181,352,1,0.5454,0.3328125,0,,,,0,0.0,31.39988879999146,8.088550699991174,11.049901599995792,0
7,fgsm_zero,1.6703312279171414,0.36073333335982427,0.8437498444133334,0.8170087866253323,0.2773555555767483,0.39126423500908747,0.9131925976541307,0.03137257695198059,0.04757267214655876,0.7193582418335809,31.524315800052136,0.12,0.13994318181818183,352,1,0.587,0.35234375,0,,,,0,0.0,31.524315800052136,8.06394929997623,11.372575300047174,0
8,fgsm_zero,1.6384645816379124,0.3751111111217075,0.8299854948573643,0.8101742097430759,0.2827333333492279,0.4020123600376977,0.910343220922682,0.03137257695198059,0.04727450017995304,0.7191555979622735,31.510771699948236,0.13999999999999999,0.15994318181818182,352,1,0.5914,0.36796875,0,,,,0,0.0,31.510771699948236,8.070877499994822,11.579444200033322,0
9,fgsm_zero,1.625195909161038,0.37906666666666666,0.8177927564409044,0.8066757366922167,0.28595555555025737,0.40739787005848355,0.9091492745823331,0.03137257695198059,0.04439205304450459,0.7126365233209399,31.95521009992808,0.16,0.17994318181818184,352,1,0.6196,0.359375,0,,,,0,0.0,31.95521009992808,8.444662700057961,11.425926199997775,0
10,fgsm_zero,1.6149908043967354,0.38351111113760206,0.8082737226698133,0.802824326494005,0.28802222220632767,0.41209209027290344,0.9085334774441189,0.03137257695198059,0.04321108935342895,0.7107107507175869,31.583979799994268,0.18,0.19994318181818183,352,1,0.622,0.359375,0,,,,0,0.0,31.583979799994268,8.072669900022447,11.07305050001014,0
11,fgsm_zero,1.618815416208903,0.3824,0.8059570460107591,0.8024861172888014,0.2905333333545261,0.41381549146970115,0.9081322443538242,0.03137257695198059,0.04369018255869547,0.7118302078035142,31.154806699953042,0.19999999999999998,0.21994318181818182,352,1,0.5784,0.3359375,0,,,,0,0.0,31.154806699953042,8.493541899952106,11.207280600094236,0
12,fgsm_zero,1.6197710580825806,0.3796888888782925,0.8033332418017918,0.8010734643936157,0.29137777779897056,0.413269816520479,0.9077779788970948,0.03137257695198059,0.041573913011286,0.7065813007460701,31.705278200097382,0.21999999999999997,0.2399431818181818,352,1,0.5818,0.3546875,0,,,,0,0.0,31.705278200097382,7.967136300052516,11.118002600036561,0
13,fgsm_zero,1.6209585327148437,0.38160000002649097,0.7995984167840746,0.8007632280985514,0.2892222222328186,0.41491148251427545,0.9057644002914429,0.03137257695198059,0.04213437745637364,0.7084857347700331,31.920937200076878,0.24,0.2599431818181818,352,1,0.6038,0.34609375,0,,,,0,0.0,31.920937200076878,8.003125800052658,11.280426200013608,0
14,fgsm_zero,1.6307005104064942,0.3790444444550408,0.8038925722440083,0.7998469386100769,0.292844444460339,0.4170120035648346,0.907358736483256,0.03137257695198059,0.04223659851882193,0.7089554672665066,31.309620900079608,0.26,0.2799431818181818,352,1,0.5658,0.340625,0,,,,0,0.0,31.309620900079608,8.26537170005031,11.376434899982996,0
15,fgsm_zero,1.63092683046129,0.37828888890478346,0.7995714550760057,0.7979644879235162,0.2882666666746139,0.416923922030131,0.9067128369755215,0.03137257694602013,0.041726133773724236,0.7078443629794651,31.3311318999622,0.27999999999999997,0.2999431818181818,352,1,0.5708,0.34140625,0,,,,0,0.0,31.3311318999622,8.416239900048822,11.049922999925911,0
16,fgsm_zero,1.621936267428928,0.38317777778837414,0.7973371781349182,0.7977146161821154,0.2878,0.4176898062970903,0.9056963461558024,0.03137257694602013,0.04131430259346962,0.706379139720069,31.634129800018854,0.3,0.2800568181818182,352,1,0.5978,0.36171875,0,,,,0,0.0,31.634129800018854,8.212773500010371,11.26423229998909,0
17,fgsm_zero,1.6140092135747275,0.3842888888835907,0.7941611305872599,0.7972144590271844,0.2899333333386315,0.41977903628349306,0.9063756061024136,0.03137257695198059,0.040198166438937186,0.7040878625869751,31.737154599977657,0.27999999999999997,0.2600568181818182,352,1,0.61,0.3671875,0,,,,0,0.0,31.737154599977657,8.525756299961358,10.963375200051814,0
18,fgsm_zero,1.5889822548336452,0.3951777777777778,0.7851704954147339,0.791757666153378,0.291022222243415,0.4244136031097836,0.9067072101169162,0.03137257695198059,0.03927621092266507,0.7010533221880595,31.09103040001355,0.26,0.2400568181818182,352,1,0.616,0.3515625,0,,,,0,0.0,31.09103040001355,8.095405100029893,11.210211899946444,0
19,fgsm_zero,1.5673361877441405,0.40073333331743877,0.7779899065971374,0.7860298386997647,0.2942222222381168,0.43125656260384454,0.9049796566857232,0.03137257695198059,0.037970899646812016,0.6979670859760708,31.576290600001812,0.24,0.22005681818181821,352,1,0.6,0.36640625,0,,,,0,0.0,31.576290600001812,7.934323700028472,11.131941100000404,0
20,fgsm_zero,1.5432007106992933,0.4120444444338481,0.7674216931766934,0.7807823122554355,0.29135555556880105,0.43482938050164116,0.9055898404757182,0.03137257695198059,0.037596665226750904,0.6974004647784763,31.866452099988237,0.22,0.20005681818181814,352,1,0.6032,0.3609375,0,,,,0,0.0,31.866452099988237,7.998433099943213,10.961632200051099,0
21,fgsm_warning_then_pgd2_next_epoch,1.0786128236982557,0.6066000000211927,0.15817479179865784,0.5803104779985216,0.16748888891008165,0.17966737613942887,0.9124378443823921,0.03137257695198059,0.03420776381691297,0.6816062763320075,31.56707119999919,0.2,0.18005681818181815,352,1,0.641,0.00390625,1,21,7100,7040,0,0.0,31.56707119999919,8.038879500003532,11.116043500020169,0
22,pgd2,1.5020520015504626,0.4341777777777778,nan,nan,nan,nan,nan,nan,nan,nan,42.635842000017874,0.18000000000000002,0.16005681818181816,nan,nan,0.7022,0.3578125,0,21,7100,,0,0.0,42.635842000017874,8.214098299969919,11.329447600059211,0
