checkpoint,architecture,attack,accuracy,epsilon,step_size,seconds
best_robust.pt,preact_resnet18,pgd20_r1_8_255,0.451,0.03137254901960784,0.00784313725490196,61.80273060000036
best_robust.pt,preact_resnet18,pgd50_r1_8_255,0.4475,0.03137254901960784,0.00784313725490196,140.9833712999971
best_robust.pt,preact_resnet18,pgd20_r5_8_255,0.4491,0.03137254901960784,0.00784313725490196,279.7751496000019
