checkpoint,architecture,attack,accuracy,epsilon,seconds
best_robust.pt,preact_resnet18,clean,0.8257,0.0,9.015662800000428
best_robust.pt,preact_resnet18,fgsm_8_255,0.5261,0.03137254901960784,11.592754099998274
best_robust.pt,preact_resnet18,pgd10_8_255,0.4638,0.03137254901960784,35.235071099999914
