epoch,method,train_adv_loss,train_adv_acc,gradalign_loss,val_clean_acc,val_pgd10_acc,core_training_seconds,online_monitor_seconds,clean_eval_seconds,pgd_monitor_seconds,lr_start,lr_end,fastadv_triggers_epoch,fastadv_triggers_total,pgd_training_batches_epoch,pgd_training_batches_total,pgd_remaining
1,fastadvplus,2.1668870978037518,0.18455555555555556,0.0,0.3538,0.24140625,37.06215150000935,6.0440039000386605,8.728726700006519,11.950846099993214,0.0,0.019943181818181818,0,0,0,0,0
2,fastadvplus,1.9377664170795017,0.2676000000052982,0.0,0.3942,0.2515625,43.55319550000422,6.452746700073476,8.98672900001111,11.797601600002963,0.02,0.039943181818181815,1,1,20,20,0
3,fastadvplus,1.8558355431026883,0.295333333325386,0.0,0.4242,0.29375,48.18502069999522,6.074258100037696,9.257425300005707,11.612418600008823,0.04,0.05994318181818181,2,3,36,56,4
4,fastadvplus,1.7638623132281834,0.32606666666666667,0.0,0.5224,0.28984375,44.891758799989475,6.406082599962247,8.242822200001683,11.372932399986894,0.06,0.07994318181818182,1,4,24,80,0
5,fastadvplus,1.690022591527303,0.35724444445504083,0.0,0.525,0.3203125,49.75472580001224,6.473553300020285,8.354242299988982,11.393336799999815,0.08,0.0999431818181818,2,6,40,120,0
6,fastadvplus,1.6363294938405355,0.3776444444550408,0.0,0.5818,0.325,49.38850580000144,6.056309699968551,8.40561849999358,11.386986800003797,0.09999999999999999,0.11994318181818181,2,8,40,160,0
7,fastadvplus,1.5915492579989963,0.3908666666931576,0.0,0.6108,0.3359375,43.42217650001112,6.463516399962828,8.507627600003616,11.641697600003681,0.12,0.13994318181818183,1,9,20,180,0
8,fastadvplus,1.5685935679965548,0.40359999998410545,0.0,0.6292,0.34609375,49.35231950000161,6.056102700022166,9.308875999995507,11.527770999993663,0.13999999999999999,0.15994318181818182,2,11,40,220,0
9,fastadvplus,1.5416842050764297,0.4113777777777778,0.0,0.6518,0.35703125,36.98703849999583,6.429425499969511,8.429634000000078,11.376950799996848,0.16,0.17994318181818184,0,11,0,220,0
10,fastadvplus,1.539802700636122,0.41484444444444446,0.0,0.6442,0.3484375,43.27305720000004,6.436270600010175,8.314125899996725,11.373794300001464,0.18,0.19994318181818183,1,12,20,240,0
11,fastadvplus,1.5817615200678508,0.40013333333863155,0.0,0.5948,0.35234375,72.25766940000176,6.056529399997089,8.461571399995591,11.5339554999955,0.19999999999999998,0.21994318181818182,6,18,112,352,8
12,fastadvplus,1.5575164408365885,0.40828888888888887,0.0,0.6188,0.365625,53.56180409999797,6.405265700028394,8.789780899998732,11.612121300000581,0.21999999999999997,0.2399431818181818,3,21,52,404,16
13,fastadvplus,1.572014595858256,0.40366666666136847,0.0,0.6022,0.31953125,62.431126499999664,6.037629300015396,9.229684000005363,12.041341399992234,0.24,0.2599431818181818,3,24,76,480,0
14,fastadvplus,1.6011114027871025,0.39582222221692404,0.0,0.6146,0.3640625,75.75305499999376,6.401114600012079,8.55553100000543,11.636768099997425,0.26,0.2799431818181818,6,30,120,600,0
