epoch,attack_mode,train_adv_loss,train_adv_acc,epoch_seconds,lr_start,lr_end,val_clean_acc,val_fgsm_acc,val_pgd10_acc,collapse_triggered,rolled_back_to_epoch,monitor_batches
1,fgsm_rs,2.2442883741590713,0.16686666666666666,31.220370499999262,0.0,0.026590909090909096,0.2674,0.17890625,0.09765625,0,,10
2,fgsm_rs,1.9253295803917778,0.2707777777777778,30.37817159993574,0.02666666666666667,0.05325757575757576,0.382,0.24296875,0.19375,0,,10
3,fgsm_rs,1.6603258232752482,0.37546666666666667,30.355519599979743,0.05333333333333334,0.07992424242424243,0.2858,0.22421875,0.04375,1,2,10
4,pgd2,1.91527549917433,0.2729333333333333,43.23231680004392,0.08000000000000002,0.1065909090909091,0.4398,0.28359375,0.278125,0,,10
5,pgd2,1.809597272766961,0.3179777777777778,43.135253399959765,0.10666666666666667,0.13325757575757577,0.4966,0.28828125,0.278125,0,,10
6,pgd2,1.728270844883389,0.34528888888888887,42.906357800005935,0.13333333333333333,0.1599242424242424,0.5274,0.34375,0.3140625,0,,10
7,pgd2,1.6646315744400024,0.3680222222222222,43.19035950000398,0.16000000000000003,0.1865909090909091,0.5526,0.33125,0.31328125,0,,10
8,pgd2,1.610536774974399,0.3864444444444444,43.60455400007777,0.18666666666666668,0.18674242424242424,0.5828,0.3515625,0.3265625,0,,10
9,pgd2,1.5486675337897406,0.4109555555555556,43.18988339998759,0.18666666666666668,0.16007575757575757,0.6372,0.38125,0.3546875,0,,10
10,pgd2,1.4898711221059164,0.43506666666666666,43.663953999988735,0.16000000000000003,0.1334090909090909,0.6372,0.38828125,0.35859375,0,,10
11,pgd2,1.4434811181174385,0.4527777777777778,43.34140779997688,0.13333333333333336,0.10674242424242425,0.6672,0.3953125,0.35390625,0,,10
12,pgd2,1.3775530245251126,0.47513333333333335,43.26499079994392,0.10666666666666669,0.08007575757575758,0.6994,0.4453125,0.39609375,0,,10
13,pgd2,1.3153455874760946,0.4978444444444444,43.14323699998204,0.07999999999999999,0.05340909090909092,0.7286,0.44921875,0.41171875,0,,10
14,pgd2,1.2321858288870917,0.5291555555555556,43.19975439994596,0.05333333333333332,0.02674242424242426,0.749,0.46875,0.43125,0,,10
15,pgd2,1.1307485144721137,0.5641777777777778,42.88448169990443,0.02666666666666666,7.575757575759568e-05,0.7784,0.5015625,0.44609375,0,,10
