feature,risk_direction,horizon_windows,eligible_windows,positive_windows,prevalence,auroc,auprc
free_gradient_cosine,-1,1,307,1,0.003257328990228013,0.9934640522875817,0.3333333333333333
free_gradient_cosine,-1,2,307,2,0.006514657980456026,0.9901639344262295,0.3333333333333333
free_gradient_cosine,-1,3,307,3,0.009771986970684038,0.9890350877192983,0.36507936507936506
free_gradient_sign_agreement,-1,1,307,1,0.003257328990228013,0.9869281045751634,0.2
free_gradient_sign_agreement,-1,2,307,2,0.006514657980456026,0.9836065573770492,0.225
free_gradient_sign_agreement,-1,3,307,3,0.009771986970684038,0.981359649122807,0.25
free_prediction_disagreement,1,1,307,1,0.003257328990228013,0.05065359477124183,0.003424657534246575
free_prediction_disagreement,1,2,307,2,0.006514657980456026,0.31065573770491806,0.007212536322125363
free_prediction_disagreement,1,3,307,3,0.009771986970684038,0.29989035087719296,0.00896650131138447
free_attack_loss_gain,-1,1,307,1,0.003257328990228013,0.8104575163398693,0.01694915254237288
free_attack_loss_gain,-1,2,307,2,0.006514657980456026,0.7065573770491803,0.01660465757199945
free_attack_loss_gain,-1,3,307,3,0.009771986970684038,0.6907894736842105,0.020069106991037932
free_boundary_fraction,1,1,307,1,0.003257328990228013,0.6830065359477124,0.01020408163265306
free_boundary_fraction,1,2,307,2,0.006514657980456026,0.4885245901639344,0.009710335747202106
free_boundary_fraction,1,3,307,3,0.009771986970684038,0.5021929824561403,0.01260735662451855
control_gradient_participation_ratio,-1,1,307,1,0.003257328990228013,1.0,1.0
control_gradient_participation_ratio,-1,2,307,2,0.006514657980456026,0.9983606557377049,0.8333333333333333
control_gradient_participation_ratio,-1,3,307,3,0.009771986970684038,1.0,1.0
control_gradient_entropy,-1,1,307,1,0.003257328990228013,1.0,1.0
control_gradient_entropy,-1,2,307,2,0.006514657980456026,1.0,1.0
control_gradient_entropy,-1,3,307,3,0.009771986970684038,1.0,1.0
train_adv_loss,-1,1,307,1,0.003257328990228013,1.0,1.0
train_adv_loss,-1,2,307,2,0.006514657980456026,1.0,1.0
train_adv_loss,-1,3,307,3,0.009771986970684038,0.9824561403508771,0.7192982456140351
train_adv_acc,1,1,307,1,0.003257328990228013,1.0,1.0
train_adv_acc,1,2,307,2,0.006514657980456026,0.9983606557377049,0.8333333333333333
train_adv_acc,1,3,307,3,0.009771986970684038,0.9435307017543859,0.5737373737373738
