epoch,method,train_adv_loss,train_adv_acc,gradalign_loss,val_clean_acc,val_pgd10_acc,core_training_seconds,online_monitor_seconds,clean_eval_seconds,pgd_monitor_seconds,lr_start,lr_end,fastadv_triggers_epoch,fastadv_triggers_total,pgd_training_batches_epoch,pgd_training_batches_total,pgd_remaining
1,gradalign,2.2157345728556317,0.1638666666507721,0.023912805000485645,0.3504,0.2609375,92.24287000000186,0.0,8.60255350000807,11.169191299995873,0.0,0.019943181818181818,0,0,0,0,0
2,gradalign,1.9901168178982205,0.2451333333465788,0.0021374550698945918,0.4118,0.26953125,91.15144990000408,0.0,8.307639499995275,11.763521700006095,0.02,0.039943181818181815,0,0,0,0,0
3,gradalign,1.915411248864068,0.27313333333863155,0.002171993067281114,0.4464,0.2765625,91.31126630000654,0.0,8.740726000003633,12.364047199997003,0.04,0.05994318181818181,0,0,0,0,0
4,gradalign,1.836340176794264,0.3016222222063277,0.0024900927474101383,0.4786,0.28828125,91.57165309999255,0.0,8.413062099993112,11.379755100002512,0.06,0.07994318181818182,0,0,0,0,0
5,gradalign,1.771254773012797,0.32477777777247957,0.002786652024380035,0.5282,0.31796875,91.0660099000088,0.0,8.410156800004188,11.357668800003012,0.08,0.0999431818181818,0,0,0,0,0
6,gradalign,1.717717451646593,0.3430444444709354,0.0031176829463491836,0.5698,0.3421875,90.87019689999579,0.0,8.562163900001906,11.334627999996883,0.09999999999999999,0.11994318181818181,0,0,0,0,0
7,gradalign,1.671564247385661,0.36295555556085374,0.003465248874616292,0.5674,0.340625,91.61877280000772,0.0,8.829587800006266,11.64993479999248,0.12,0.13994318181818183,0,0,0,0,0
8,gradalign,1.649854977692498,0.36882222221162586,0.0036923574764695434,0.6278,0.3453125,93.56506639999861,0.0,8.896381700003985,11.940784299993538,0.13999999999999999,0.15994318181818182,0,0,0,0,0
9,gradalign,1.6268619188732572,0.3750444444497426,0.00397017453569505,0.5956,0.3546875,91.6988313000038,0.0,10.107005400001071,11.890881800005445,0.16,0.17994318181818184,0,0,0,0,0
10,gradalign,1.620246393500434,0.3836444444550408,0.003960525715102752,0.605,0.36796875,91.90585679998912,0.0,8.786558499996318,11.847030000004452,0.18,0.19994318181818183,0,0,0,0,0
11,gradalign,1.6234614749060736,0.3805333333492279,0.004103923448175192,0.612,0.3671875,91.36413010000251,0.0,9.509745200004545,11.888072699992335,0.19999999999999998,0.21994318181818182,0,0,0,0,0
12,gradalign,1.6203120382732816,0.38273333332273696,0.004172624896383948,0.5432,0.3359375,92.53359069999715,0.0,8.932366900000488,11.85849369999778,0.21999999999999997,0.2399431818181818,0,0,0,0,0
13,gradalign,1.6258279127968682,0.38013333332273697,0.004220655942418509,0.6208,0.371875,91.32634549999784,0.0,9.44051970000146,11.860508500001743,0.24,0.2599431818181818,0,0,0,0,0
14,gradalign,1.6339868713378907,0.3750444444285499,0.004123213683151537,0.6264,0.3515625,91.41163579998829,0.0,8.678599500010023,11.998460500006331,0.26,0.2799431818181818,0,0,0,0,0
15,gradalign,1.631779436937968,0.3770444444709354,0.004296966420238217,0.6068,0.32421875,92.07832770000095,0.0,9.02114349999465,11.546318499997142,0.27999999999999997,0.2999431818181818,0,0,0,0,0
16,gradalign,1.6368604411231147,0.37615555553966096,0.004240753547764486,0.5618,0.31015625,91.46504340000683,0.0,8.639135699995677,11.51935119999689,0.3,0.2800568181818182,0,0,0,0,0
17,gradalign,1.6083213751051162,0.3873111111058129,0.004488580729481247,0.6196,0.3484375,92.62959549999505,0.0,9.530763899994781,11.532988000006299,0.27999999999999997,0.2600568181818182,0,0,0,0,0
18,gradalign,1.588133596420288,0.39235555555025736,0.004597450913074944,0.596,0.35546875,91.8213923000003,0.0,8.901621400000295,11.79580980000901,0.26,0.2400568181818182,0,0,0,0,0
19,gradalign,1.5767967797385323,0.3982888888888889,0.004634038319852617,0.6378,0.3546875,91.31461280000804,0.0,8.916852000009385,11.843858199994429,0.24,0.22005681818181821,0,0,0,0,0
20,gradalign,1.5526764421039156,0.4072888888994853,0.004891763731920057,0.6792,0.359375,91.58502700000827,0.0,8.917234399996232,12.319436200006749,0.22,0.20005681818181814,0,0,0,0,0
21,gradalign,1.526364444647895,0.41575555555555554,0.005042603897800048,0.647,0.36171875,91.75828730000649,0.0,8.71404029999394,11.428370800000266,0.2,0.18005681818181815,0,0,0,0,0
22,gradalign,1.5056054541693793,0.4229777777671814,0.005329894306924608,0.6608,0.3796875,91.55948799999896,0.0,8.45407220000925,11.56386609999754,0.18000000000000002,0.16005681818181816,0,0,0,0,0
23,gradalign,1.4717274845971002,0.4343333333545261,0.005600947243637509,0.6692,0.40546875,91.28992140000628,0.0,8.699807700002566,11.891724899993278,0.16000000000000003,0.14005681818181817,0,0,0,0,0
24,gradalign,1.4439549841139052,0.4454444444709354,0.005835562266243829,0.6846,0.38984375,91.4078351999924,0.0,9.108861100001377,12.009259099999326,0.13999999999999996,0.12005681818181817,0,0,0,0,0
25,gradalign,1.4075691431045532,0.4569111111217075,0.006218661199675666,0.7248,0.41328125,91.22507629999018,0.0,8.646649000002071,11.613927500002319,0.11999999999999997,0.10005681818181818,0,0,0,0,0
26,gradalign,1.3711619408289593,0.4682000000529819,0.006565262504335907,0.7174,0.43984375,91.1194317000045,0.0,8.981848399998853,11.869023000006564,0.09999999999999998,0.08005681818181817,0,0,0,0,0
27,gradalign,1.3267952939139471,0.48728888891008165,0.006877551983959145,0.741,0.41484375,91.44261830000323,0.0,9.078161400000681,12.195407599996543,0.07999999999999997,0.06005681818181818,0,0,0,0,0
28,gradalign,1.2634408701578776,0.5104888889100817,0.007553635786639319,0.7654,0.4546875,91.8619699000119,0.0,9.195465500000864,12.17773809999926,0.059999999999999984,0.040056818181818186,0,0,0,0,0
29,gradalign,1.1901990662256876,0.5330444444709354,0.008098361425846815,0.7842,0.46640625,91.50438379999832,0.0,9.123287199996412,11.84734349999053,0.03999999999999999,0.020056818181818193,0,0,0,0,0
30,gradalign,1.1001823775609334,0.5678666666878595,0.008571516668299833,0.8058,0.46875,91.42835400000331,0.0,9.025033600002644,12.036437499991735,0.019999999999999993,5.681818181819675e-05,0,0,0,0,0
