epoch,attack_mode,train_adv_loss,train_adv_acc,epoch_seconds,lr_start,lr_end,val_clean_acc,val_fgsm_acc,val_pgd10_acc,collapse_triggered,rolled_back_to_epoch,monitor_batches
1,fgsm_rs,2.3139522732204862,0.14062222222222223,31.462496199994348,0.0,0.026590909090909096,0.325,0.21640625,0.21171875,0,,10
2,fgsm_rs,2.019172970835368,0.23873333333333333,30.475457700085826,0.02666666666666667,0.05325757575757576,0.377,0.23828125,0.2328125,0,,10
3,fgsm_rs,1.9288003763834636,0.2672888888888889,30.269317700061947,0.05333333333333334,0.07992424242424243,0.4058,0.2515625,0.24453125,0,,10
4,fgsm_rs,1.8604761712816027,0.2942,30.886415699962527,0.08000000000000002,0.1065909090909091,0.4458,0.26328125,0.253125,0,,10
5,fgsm_rs,1.7952027394188774,0.3199777777777778,30.57252739998512,0.10666666666666667,0.13325757575757577,0.4476,0.2875,0.27578125,0,,10
6,fgsm_rs,1.7390621572706435,0.3425111111111111,30.54575659998227,0.13333333333333333,0.1599242424242424,0.55,0.3359375,0.32109375,0,,10
7,fgsm_rs,1.6900103264278836,0.35644444444444445,30.213524099905044,0.16000000000000003,0.1865909090909091,0.5598,0.33515625,0.3109375,0,,10
8,fgsm_rs,1.6418903784857857,0.3737333333333333,30.328111900016665,0.18666666666666668,0.18674242424242424,0.5406,0.31328125,0.2953125,0,,10
9,fgsm_rs,1.585497234831916,0.3954666666666667,30.541026600054465,0.18666666666666668,0.16007575757575757,0.6286,0.3484375,0.3265625,0,,10
10,fgsm_rs,1.5284950860129463,0.41815555555555556,30.50088659999892,0.16000000000000003,0.1334090909090909,0.6266,0.3796875,0.35703125,0,,10
11,fgsm_rs,1.478596625857883,0.4373111111111111,30.498829299933277,0.13333333333333336,0.10674242424242425,0.6464,0.39140625,0.36171875,0,,10
12,fgsm_rs,1.4241599516762629,0.4559111111111111,30.66842799994629,0.10666666666666669,0.08007575757575758,0.7052,0.40390625,0.37109375,0,,10
13,fgsm_rs,1.3545115462197197,0.4812,30.484481399995275,0.07999999999999999,0.05340909090909092,0.698,0.43984375,0.41015625,0,,10
14,fgsm_rs,1.2751239077250163,0.5082444444444445,30.33305980009027,0.05333333333333332,0.02674242424242426,0.7534,0.48359375,0.43203125,0,,10
15,fgsm_rs,1.1729245629204643,0.5465777777777778,30.509114400018007,0.02666666666666666,7.575757575759568e-05,0.7776,0.50390625,0.46015625,0,,10
