epoch,attack_mode,train_adv_loss,train_adv_acc,free_gradient_cosine,free_gradient_sign_agreement,free_prediction_disagreement,free_attack_loss_gain,free_boundary_fraction,free_delta_linf,control_gradient_participation_ratio,control_gradient_entropy,epoch_seconds,lr_start,lr_end,batches_processed,epoch_completed,val_clean_acc,val_pgd10_acc,intervention_triggered,trigger_epoch,trigger_global_step,rolled_back_to_global_step,pgd2_start_global_step,post_trigger_pgd_batches,abandoned_fgsm_batches,abandoned_fgsm_seconds,total_training_seconds,clean_eval_seconds,pgd_monitor_seconds,pgd_monitor_used_for_trigger
1,fgsm_zero,2.218376939476861,0.1630222222275204,0.7261827309767405,0.7454123032675849,0.2247111111111111,0.20551084792084165,0.9148611233817207,0.03137257695198059,0.11167119789918263,0.7796175291803148,34.13027590001002,0.0,0.019943181818181818,352,1,0.3196,0.23984375,0,,,,,0,0,0.0,34.13027590001002,9.135926199989626,11.975027700013015,0
2,fgsm_zero,1.9946272012498643,0.24553333332538604,0.9032445154719883,0.8464104852994283,0.20702222220632766,0.249456009833018,0.9185179745568169,0.03137257695198059,0.0600225854145156,0.7301110093646579,32.99989989999449,0.02,0.039943181818181815,352,1,0.3866,0.22890625,0,,,,,0,0,0.0,32.99989989999449,9.198745200003032,11.978084500005934,0
3,fgsm_zero,1.9166020027160644,0.2730000000105964,0.8999719955762228,0.8489977204110888,0.22275555553966098,0.2884186050097148,0.9166850669542949,0.03137257695198059,0.05345024416181776,0.7218990717993842,32.887649399985094,0.04,0.05994318181818181,352,1,0.4742,0.290625,0,,,,,0,0,0.0,32.887649399985094,9.011133200023323,12.589965700026369,0
4,fgsm_zero,1.8286559625413683,0.30488888891008165,0.8872107278188069,0.8403464027404786,0.25457777779367236,0.3273898754755656,0.9169815090285407,0.03137257695198059,0.05125871915618579,0.721798585764567,32.82085049999296,0.06,0.07994318181818182,352,1,0.4872,0.30390625,0,,,,,0,0,0.0,32.82085049999296,8.856219299981603,12.091638899990357,0
5,fgsm_zero,1.7695272827572293,0.3266888888994853,0.8729212961514791,0.8317253587616814,0.2597555555635028,0.354825270318985,0.9165094306310018,0.03137257695198059,0.051309855101505916,0.7258484595616659,33.731419399991864,0.08,0.0999431818181818,352,1,0.4976,0.31171875,0,,,,,0,0,0.0,33.731419399991864,8.992799500003457,12.48453509999672,0
6,fgsm_zero,1.7142599766201443,0.34537777779897055,0.8556149602890014,0.8236597498999702,0.27351111110051474,0.3770548522260454,0.9135098790698581,0.03137257695198059,0.04962949614127477,0.7234790571954515,32.7560260000173,0.09999999999999999,0.11994318181818181,352,1,0.5342,0.3078125,0,,,,,0,0,0.0,32.7560260000173,10.612248899997212,13.227563699998427,0
7,fgsm_zero,1.6708891497082181,0.3610888889100817,0.8419309368345472,0.8166029354625278,0.27815555555555554,0.3896461357275645,0.9112987311999003,0.03137257694602013,0.04890982905030251,0.7225097749816047,35.53050960000837,0.12,0.13994318181818183,352,1,0.5654,0.3546875,0,,,,,0,0,0.0,35.53050960000837,9.118656100006774,12.010040900000604,0
8,fgsm_zero,1.6457179338243273,0.3711333333545261,0.830368915494283,0.8128136633343167,0.2834000000105964,0.3983934847778744,0.9098261117405362,0.03137257695198059,0.045586447402503755,0.7155869698948331,33.5582886999764,0.13999999999999999,0.15994318181818182,352,1,0.6136,0.35390625,0,,,,,0,0,0.0,33.5582886999764,9.23767420000513,13.929615300003206,0
9,fgsm_zero,1.619182734129164,0.3812888889153798,0.8158943644417657,0.8062496581289503,0.2901111111164093,0.4091896814134386,0.9072318762673272,0.03137257694602013,0.04437140775521596,0.7132497251616584,33.01449089997914,0.16,0.17994318181818184,352,1,0.5854,0.3328125,0,,,,,0,0,0.0,33.01449089997914,8.667519399983576,11.478135999990627,0
10,fgsm_zero,1.6212007479349773,0.37804444443384805,0.8088021051936679,0.8033743176990085,0.2935333333333333,0.4146402681827545,0.9069725524160597,0.03137257695198059,0.04427380023863581,0.7132604478518169,31.199303000001237,0.18,0.19994318181818183,352,1,0.5674,0.33671875,0,,,,,0,0,0.0,31.199303000001237,8.620842100004666,11.66819170000963,0
11,fgsm_zero,1.6137611053042942,0.3798,0.8022513826052348,0.8002948833889432,0.29208888891008167,0.41323216308487787,0.9064929386668735,0.03137257695198059,0.042227761157353716,0.7086128297381931,31.193079699994996,0.19999999999999998,0.21994318181818182,352,1,0.5994,0.328125,0,,,,,0,0,0.0,31.193079699994996,8.640830400021514,12.336075200000778,0
12,fgsm_zero,1.6185463331222534,0.38288888890478345,0.8005333901511298,0.799757608180576,0.2867111111164093,0.4151449362066057,0.9051089467472501,0.03137257695198059,0.0414619011176957,0.707077160718706,31.58320170000661,0.21999999999999997,0.2399431818181818,352,1,0.6064,0.34375,0,,,,,0,0,0.0,31.58320170000661,9.126373499981128,12.993701600003988,0
13,fgsm_zero,1.6198471346961127,0.3826888888888889,0.8016722142855326,0.8003584253417121,0.28933333333863154,0.4148558663315243,0.9060325515641107,0.03137257695198059,0.040565382202466325,0.7045504742622376,32.8872881999996,0.24,0.2599431818181818,352,1,0.6098,0.31796875,0,,,,,0,0,0.0,32.8872881999996,11.502918499987572,13.322350200003712,0
14,fgsm_zero,1.628430769581265,0.37793333332273693,0.7957379732131958,0.7989604944123162,0.2881555555714501,0.4108260816468133,0.9068117238362631,0.03137257695198059,0.03977738878859414,0.7016816327730815,34.26574190001702,0.26,0.2799431818181818,352,1,0.5516,0.31953125,0,,,,,0,0,0.0,34.26574190001702,8.689617399999406,12.128293499990832,0
15,fgsm_zero,1.6329669520907932,0.37562222224871317,0.7975864616394043,0.7994274429321289,0.2896222222222222,0.4151483040597704,0.9055776679886712,0.03137257695198059,0.04142128803200192,0.7068084853490194,32.268826600018656,0.27999999999999997,0.2999431818181818,352,1,0.5552,0.3515625,0,,,,,0,0,0.0,32.268826600018656,8.969268499989994,12.08565710001858,0
16,fgsm_zero,1.6294560963312785,0.37680000002649094,0.7964643868870205,0.798525691403283,0.29082222223811677,0.4174906132115258,0.9078048145824008,0.03137257695198059,0.0418509060257011,0.7072942681100634,32.712156499997946,0.3,0.2800568181818182,352,1,0.59,0.34375,0,,,,,0,0,0.0,32.712156499997946,8.823950299993157,12.078187599981902,0
17,fgsm_zero,1.601619356282552,0.38893333333333335,0.7884010602951049,0.7942921776135763,0.29020000000529816,0.4219899351331923,0.906164580408732,0.03137257695198059,0.039766212485233945,0.7026967880566914,33.2545897999953,0.27999999999999997,0.2600568181818182,352,1,0.6236,0.35625,0,,,,,0,0,0.0,33.2545897999953,10.863878499978455,12.615783999994164,0
18,fgsm_zero,1.5860485365125867,0.3945777777671814,0.7861417705429925,0.791147994348738,0.2909777777777778,0.4275185174730089,0.9078546498298645,0.03137257695198059,0.039678944151931336,0.7022255766656663,31.691956700000446,0.26,0.2400568181818182,352,1,0.6286,0.36171875,0,,,,,0,0,0.0,31.691956700000446,9.813323999987915,15.253752599994186,0
