epoch,train_adv_loss,train_adv_acc,epoch_seconds,lr_start,lr_end,val_clean_acc,val_fgsm_acc,val_pgd10_acc,balanced_score,monitor_batches
1,1.090090298377143,0.5787555555555556,43.69915839994792,0.01,0.009335227272727273,0.7828,0.48984375,0.44453125,0.5670499508588248,10
2,1.0670936727311877,0.586,42.97820079990197,0.009333333333333334,0.008668560606060607,0.7896,0.49453125,0.43984375,0.5649719639471102,10
3,1.0497372981601292,0.5931555555555555,42.942840500036255,0.008666666666666668,0.00800189393939394,0.7898,0.4953125,0.43671875,0.562438150660151,10
4,1.0313280840555827,0.6000888888888889,43.10787380009424,0.008,0.007335227272727274,0.7918,0.4921875,0.44375,0.5687527821617903,10
5,1.0141718627505831,0.6040444444444445,43.50626449997071,0.007333333333333334,0.006668560606060605,0.7934,0.50078125,0.44921875,0.5736436155498217,10
6,0.9946945332845052,0.6107777777777778,42.77550089999568,0.006666666666666668,0.006001893939393939,0.7996,0.490625,0.434375,0.5629388763953889,10
7,0.9734322560734219,0.6179111111111111,42.94452529994305,0.006000000000000001,0.005335227272727272,0.8022,0.49609375,0.4421875,0.570116322287069,10
8,0.9512526213328044,0.6282222222222222,42.88199150003493,0.005333333333333335,0.004668560606060606,0.8058,0.5015625,0.44609375,0.5742697313569941,10
9,0.9291459730360243,0.6346,43.14342920004856,0.004666666666666665,0.004001893939393939,0.8042,0.50703125,0.4484375,0.5757985650277913,10
10,0.9072916561126709,0.6416,43.18568440002855,0.003999999999999999,0.0033352272727272727,0.808,0.50234375,0.44375,0.5728779708408228,10
11,0.8794439626693725,0.6515555555555556,42.79390779999085,0.0033333333333333327,0.002668560606060606,0.8094,0.5,0.44296875,0.5725772161753477,10
12,0.8494915176179674,0.6628,42.8344496000791,0.002666666666666666,0.0020018939393939396,0.8172,0.4859375,0.44140625,0.5732010110389965,10
13,0.8224746191660564,0.6720666666666667,42.8997199999867,0.0019999999999999996,0.0013352272727272729,0.8158,0.490625,0.43203125,0.5649018547179355,10
14,0.7953894202232361,0.6821111111111111,42.98063240002375,0.001333333333333333,0.0006685606060606064,0.819,0.50234375,0.4390625,0.5716602911222615,10
15,0.7976095458666483,0.6809333333333333,42.996997399954125,0.0006666666666666665,1.893939393939892e-06,0.8228,0.50234375,0.4375,0.5712528762992938,10
