epoch,train_adv_loss,train_adv_acc,epoch_seconds,lr_start,lr_end,val_clean_acc,val_fgsm_acc,val_pgd10_acc,balanced_score,monitor_batches
1,1.01505451236301,0.5973333333333334,81.30219980003312,0.005,0.004501420454545455,0.8002,0.5125,0.46015625,0.5843062725320718,10
2,0.9909964146084256,0.6074222222222222,80.85562069993466,0.0045,0.0040014204545454546,0.8034,0.49921875,0.44921875,0.5762365344603058,10
3,0.9716789184146457,0.6118222222222223,80.56769539997913,0.004,0.003501420454545454,0.8006,0.50234375,0.44609375,0.5729436860496012,10
4,0.9534132554478115,0.6202888888888889,80.7235428999411,0.0034999999999999996,0.003001420454545455,0.804,0.51015625,0.44609375,0.5738119641026924,10
5,0.9367585327572293,0.6248666666666667,80.64653549995273,0.0030000000000000005,0.0025014204545454545,0.7998,0.5078125,0.45390625,0.579137606995259,10
6,0.9146011563618978,0.6324666666666666,80.96379880001768,0.0025,0.002001420454545455,0.808,0.50234375,0.4359375,0.5663266844194342,10
7,0.8933081268204583,0.6423111111111112,80.76508540008217,0.0019999999999999996,0.0015014204545454547,0.804,0.503125,0.44296875,0.5712202090068416,10
8,0.8718484564357334,0.6491111111111111,80.70972350006923,0.0015000000000000002,0.001001420454545454,0.8072,0.50703125,0.4484375,0.5765656887437657,10
9,0.8552658149613275,0.6558,80.97309429990128,0.0009999999999999998,0.0005014204545454548,0.8126,0.50546875,0.4546875,0.5831021966207351,10
10,0.8797212157991198,0.6447777777777778,80.6690297999885,0.0005000000000000004,1.4204545454543639e-06,0.8124,0.5125,0.44921875,0.5785350170168286,10
