epoch,batch,global_step,lr,window_samples,train_adv_loss,train_adv_acc,free_gradient_cosine,free_gradient_sign_agreement,free_prediction_disagreement,free_attack_loss_gain,free_boundary_fraction,free_delta_linf,control_gradient_participation_ratio,control_gradient_entropy,detector_baseline,detector_score,detector_threshold,detector_pgd10_acc,detector_seconds,observer_pgd10_acc,observer_pgd10_seconds,intervention_triggered
1,20,20,0.0010795454545454546,2560,2.8814163208007812,0.0,0.021278352942317724,0.499197906255722,0.225,0.5775840699672699,0.9149471491575241,0.03137257695198059,0.24837962538003922,0.8856738150119782,nan,nan,0.16632988750934596,nan,0.0,nan,0.0,0
1,40,40,0.002215909090909091,2560,2.599049186706543,0.02109375,0.07095818035304546,0.5131261438131333,0.284765625,0.39731580168008807,0.9145961940288544,0.03137257695198059,0.2348206490278244,0.8811795145273209,nan,nan,0.16632988750934596,nan,0.0,nan,0.0,0
1,60,60,0.0033522727272727276,2560,2.343800449371338,0.05078125,0.28706451654434206,0.5704344570636749,0.27265625,0.18481700718402863,0.9132173091173172,0.03137257695198059,0.21276118531823157,0.870472452044487,nan,nan,0.16632988750934596,nan,0.0,nan,0.0,0
1,80,80,0.004488636363636363,2560,2.2577885746955872,0.1375,0.5663584753870964,0.6467023402452469,0.19296875,0.11653669103980065,0.9133700251579284,0.03137257695198059,0.16684157103300096,0.8399472653865814,0.07095818035304546,-0.4954002950340509,0.16632988750934596,nan,0.0,nan,0.0,0
1,100,100,0.005625,2560,2.229643630981445,0.162890625,0.7036641448736191,0.6905868768692016,0.184375,0.1129028968513012,0.9150036007165909,0.03137257695198059,0.1355916026979685,0.8142488569021225,0.17901134844869376,-0.5246527964249252,0.16632988750934596,nan,0.0,nan,0.0,0
1,120,120,0.006761363636363636,2560,2.200618553161621,0.165625,0.768461936712265,0.7198056787252426,0.169140625,0.11421027630567551,0.9154585689306259,0.03137257695198059,0.11926453821361065,0.7995904564857483,0.28706451654434206,-0.481397420167923,0.16632988750934596,nan,0.0,nan,0.0,0
1,140,140,0.007897727272727272,2560,2.1925509452819822,0.1578125,0.8254859536886215,0.7466711878776551,0.20390625,0.1301359947770834,0.9142290890216828,0.03137257695198059,0.10406183674931527,0.77954660654068,0.5663584753870964,-0.25912747830152516,0.16632988750934596,nan,0.0,nan,0.0,0
1,160,160,0.009034090909090908,2560,2.1539512634277345,0.203515625,0.8412454187870025,0.7627019464969635,0.199609375,0.14546793103218078,0.9148970514535903,0.03137257695198059,0.09713132865726948,0.767858624458313,0.7036641448736191,-0.13758127391338348,0.16632988750934596,nan,0.0,nan,0.0,0
1,180,180,0.010170454545454547,2560,2.161338376998901,0.1921875,0.8524461507797241,0.7754534542560577,0.198828125,0.1456138752400875,0.9116265803575516,0.03137257695198059,0.09048856981098652,0.762734591960907,0.768461936712265,-0.08398421406745904,0.16632988750934596,nan,0.0,nan,0.0,0
1,200,200,0.011306818181818182,2560,2.1351078510284425,0.196484375,0.8621047794818878,0.7879262447357178,0.2046875,0.17857124358415605,0.9134182155132293,0.03137257695198059,0.08401882760226727,0.7530463486909866,0.8254859536886215,-0.03661882579326625,0.16632988750934596,nan,0.0,nan,0.0,0
1,220,220,0.012443181818181819,2560,2.1023844718933105,0.205859375,0.8793144226074219,0.8038903772830963,0.212109375,0.18712102696299554,0.9139117151498795,0.03137257695198059,0.0842136912047863,0.754112932085991,0.8412454187870025,-0.038069003820419334,0.16632988750934596,nan,0.0,nan,0.0,0
