feature,risk_direction,horizon_windows,eligible_windows,positive_windows,prevalence,auroc,auprc
free_gradient_cosine,-1,1,365,1,0.0027397260273972603,0.9945054945054945,0.3333333333333333
free_gradient_cosine,-1,2,365,2,0.005479452054794521,0.9944903581267218,0.41666666666666663
free_gradient_cosine,-1,3,365,3,0.00821917808219178,0.9935543278084714,0.4444444444444444
free_gradient_sign_agreement,-1,1,365,1,0.0027397260273972603,0.9917582417582418,0.25
free_gradient_sign_agreement,-1,2,365,2,0.005479452054794521,0.990358126721763,0.29166666666666663
free_gradient_sign_agreement,-1,3,365,3,0.00821917808219178,0.988950276243094,0.3194444444444444
free_prediction_disagreement,1,1,365,1,0.0027397260273972603,0.0,0.0027397260273972603
free_prediction_disagreement,1,2,365,2,0.005479452054794521,0.05853994490358127,0.004292521058453161
free_prediction_disagreement,1,3,365,3,0.00821917808219178,0.1445672191528545,0.006143452735471794
free_attack_loss_gain,-1,1,365,1,0.0027397260273972603,0.8983516483516484,0.02631578947368421
free_attack_loss_gain,-1,2,365,2,0.005479452054794521,0.8622589531680441,0.02854251012145749
free_attack_loss_gain,-1,3,365,3,0.00821917808219178,0.7817679558011049,0.026171197223828806
free_boundary_fraction,1,1,365,1,0.0027397260273972603,0.6318681318681318,0.007407407407407408
free_boundary_fraction,1,2,365,2,0.005479452054794521,0.5674931129476584,0.009198209198209198
free_boundary_fraction,1,3,365,3,0.00821917808219178,0.5478821362799263,0.011667345000678333
control_gradient_participation_ratio,-1,1,365,1,0.0027397260273972603,0.9972527472527473,0.5
control_gradient_participation_ratio,-1,2,365,2,0.005479452054794521,1.0,1.0
control_gradient_participation_ratio,-1,3,365,3,0.00821917808219178,1.0,1.0
control_gradient_entropy,-1,1,365,1,0.0027397260273972603,0.9972527472527473,0.5
control_gradient_entropy,-1,2,365,2,0.005479452054794521,1.0,1.0
control_gradient_entropy,-1,3,365,3,0.00821917808219178,1.0,1.0
train_adv_loss,-1,1,365,1,0.0027397260273972603,1.0,1.0
train_adv_loss,-1,2,365,2,0.005479452054794521,1.0,1.0
train_adv_loss,-1,3,365,3,0.00821917808219178,1.0,1.0
train_adv_acc,1,1,365,1,0.0027397260273972603,1.0,1.0
train_adv_acc,1,2,365,2,0.005479452054794521,1.0,1.0
train_adv_acc,1,3,365,3,0.00821917808219178,1.0,1.0
