epoch,attack_mode,train_adv_loss,train_adv_acc,free_gradient_cosine,free_gradient_sign_agreement,free_prediction_disagreement,free_attack_loss_gain,free_boundary_fraction,free_delta_linf,control_gradient_participation_ratio,control_gradient_entropy,epoch_seconds,lr_start,lr_end,batches_processed,epoch_completed,val_clean_acc,val_pgd10_acc,intervention_triggered,trigger_epoch,trigger_global_step,rolled_back_to_global_step,abandoned_fgsm_batches,abandoned_fgsm_seconds,total_training_seconds,clean_eval_seconds,pgd_monitor_seconds,pgd_monitor_used_for_trigger
1,pgd2,2.165888545036316,0.19035555555555556,nan,nan,nan,nan,nan,nan,nan,nan,43.90902529998857,0.0,0.019943181818181818,nan,nan,0.385,0.2625,0,,,,0,0.0,43.90902529998857,8.303356899996288,11.312870399997337,0
2,pgd2,1.9011811815897623,0.27997777777777777,nan,nan,nan,nan,nan,nan,nan,nan,43.089115599999786,0.02,0.039943181818181815,nan,nan,0.4306,0.24921875,0,,,,0,0.0,43.089115599999786,8.800852800006396,11.547277100005886,0
3,pgd2,1.806253536690606,0.31464444444444445,nan,nan,nan,nan,nan,nan,nan,nan,43.35457640000095,0.04,0.05994318181818181,nan,nan,0.4868,0.25,0,,,,0,0.0,43.35457640000095,8.820300099992892,11.995330500009004,0
4,pgd2,1.7115237765630087,0.3496888888888889,nan,nan,nan,nan,nan,nan,nan,nan,43.67800790000183,0.06,0.07994318181818182,nan,nan,0.5272,0.2765625,0,,,,0,0.0,43.67800790000183,8.384261400002288,11.18201049999334,0
5,pgd2,1.62757936062283,0.3826222222222222,nan,nan,nan,nan,nan,nan,nan,nan,43.01255990000209,0.08,0.0999431818181818,nan,nan,0.603,0.3359375,0,,,,0,0.0,43.01255990000209,8.534072999987984,11.347338000006857,0
6,pgd2,1.5704687591552735,0.4036222222222222,nan,nan,nan,nan,nan,nan,nan,nan,43.040097500008414,0.09999999999999999,0.11994318181818181,nan,nan,0.6426,0.33203125,0,,,,0,0.0,43.040097500008414,8.401962699994328,11.387119999999413,0
7,pgd2,1.5221066602918836,0.4214222222222222,nan,nan,nan,nan,nan,nan,nan,nan,43.14226009999402,0.12,0.13994318181818183,nan,nan,0.62,0.33125,0,,,,0,0.0,43.14226009999402,8.619960299998638,11.552249200001825,0
8,pgd2,1.5028820322460599,0.42848888888888886,nan,nan,nan,nan,nan,nan,nan,nan,43.50552570000582,0.13999999999999999,0.15994318181818182,nan,nan,0.6722,0.35078125,0,,,,0,0.0,43.50552570000582,8.778671600011876,12.523968400011654,0
9,pgd2,1.4828716718461779,0.4378,nan,nan,nan,nan,nan,nan,nan,nan,43.326929700007895,0.16,0.17994318181818184,nan,nan,0.6486,0.353125,0,,,,0,0.0,43.326929700007895,8.850464200004353,11.995676800012006,0
10,pgd2,1.4778064353730944,0.4398444444444444,nan,nan,nan,nan,nan,nan,nan,nan,43.25681629999599,0.18,0.19994318181818183,nan,nan,0.632,0.346875,0,,,,0,0.0,43.25681629999599,8.554504300002009,11.376453099990613,0
