epoch,batch,global_step,lr,window_samples,train_adv_loss,train_adv_acc,free_gradient_cosine,free_gradient_sign_agreement,free_prediction_disagreement,free_attack_loss_gain,free_boundary_fraction,free_delta_linf,control_gradient_participation_ratio,control_gradient_entropy,detector_baseline,detector_score,detector_threshold,detector_pgd10_acc,detector_seconds,observer_pgd10_acc,observer_pgd10_seconds,intervention_triggered
1,20,20,0.0007196969696969698,2560,2.920354461669922,0.00078125,0.04237677063792944,0.507422149181366,0.1734375,0.5767144292593003,0.6012240350246429,0.03137257695198059,0.2484083816409111,0.8855835974216462,nan,nan,0.16632988750934596,nan,0.0,nan,0.0,0
1,40,40,0.0014772727272727272,2560,2.6771167755126952,0.0,0.07634891401976347,0.5174404382705688,0.314453125,0.4679464891552925,0.6003586053848267,0.03137257695198059,0.23917147666215896,0.8825901508331299,nan,nan,0.16632988750934596,nan,0.0,nan,0.0,0
1,60,60,0.002234848484848485,2560,2.4471193313598634,0.015625,0.25318328514695165,0.5666264951229095,0.2796875,0.26593341007828714,0.5999893337488175,0.03137257695198059,0.20884046331048012,0.8705839842557908,nan,nan,0.16632988750934596,nan,0.0,nan,0.0,0
1,80,80,0.0029924242424242426,2560,2.2795490264892577,0.05,0.5159921810030937,0.6420283198356629,0.283203125,0.13925234600901604,0.6010432094335556,0.03137257695198059,0.1746901825070381,0.849933847784996,0.07634891401976347,-0.4396432669833303,0.16632988750934596,nan,0.0,nan,0.0,0
1,100,100,0.00375,2560,2.2251895904541015,0.156640625,0.6697678506374359,0.6941969811916351,0.18359375,0.11431640349328517,0.6007671564817428,0.03137257695198059,0.14756251648068427,0.8293609142303466,0.16476609958335756,-0.5050017510540784,0.16632988750934596,nan,0.0,nan,0.0,0
1,120,120,0.004507575757575758,2560,2.1856267929077147,0.1609375,0.7564456164836884,0.7281987696886063,0.19609375,0.1167891003191471,0.6022341549396515,0.03137257695198059,0.1253559798002243,0.8088500916957855,0.25318328514695165,-0.5032623313367367,0.16632988750934596,nan,0.0,nan,0.0,0
1,140,140,0.005265151515151515,2560,2.1527861595153808,0.17578125,0.8073639750480652,0.750112172961235,0.2140625,0.11982214972376823,0.6040399134159088,0.03137257695198059,0.1118018839508295,0.7924542337656021,0.5159921810030937,-0.2913717940449715,0.16632988750934596,nan,0.0,nan,0.0,0
1,160,160,0.006022727272727273,2560,2.1557638168334963,0.206640625,0.8378723323345184,0.7731153011322022,0.168359375,0.1294438485056162,0.6049595057964325,0.03137257695198059,0.10567436069250107,0.7845220059156418,0.6697678506374359,-0.16810448169708248,0.16632988750934596,nan,0.0,nan,0.0,0
1,180,180,0.0067803030303030315,2560,2.117510175704956,0.219921875,0.8600276589393616,0.7909099757671356,0.17265625,0.1425315886735916,0.6035438716411591,0.03137257695198059,0.10018496848642826,0.7806177973747254,0.7564456164836884,-0.10358204245567326,0.16632988750934596,nan,0.0,nan,0.0,0
1,200,200,0.007537878787878788,2560,2.1165113925933836,0.21015625,0.8696357756853104,0.8008321344852447,0.192578125,0.16057792007923127,0.6041374355554581,0.03137257695198059,0.09800694733858109,0.778887814283371,0.8073639750480652,-0.062271800637245134,0.16632988750934596,nan,0.0,nan,0.0,0
