checkpoint,architecture,attack,accuracy,epsilon,seconds
best_robust.pt,preact_resnet18,clean,0.8295,0.0,10.33858899999177
best_robust.pt,preact_resnet18,fgsm_8_255,0.5316,0.03137254901960784,12.196165100001963
best_robust.pt,preact_resnet18,pgd10_8_255,0.4693,0.03137254901960784,36.05226299999049
