epoch,attack_mode,train_adv_loss,train_adv_acc,free_gradient_cosine,free_gradient_sign_agreement,free_prediction_disagreement,free_attack_loss_gain,free_boundary_fraction,free_delta_linf,control_gradient_participation_ratio,control_gradient_entropy,epoch_seconds,lr_start,lr_end,batches_processed,epoch_completed,val_clean_acc,val_pgd10_acc,intervention_triggered,trigger_epoch,trigger_global_step,rolled_back_to_global_step,abandoned_fgsm_batches,abandoned_fgsm_seconds,total_training_seconds,clean_eval_seconds,pgd_monitor_seconds,pgd_monitor_used_for_trigger
1,fgsm_zero,2.218376939476861,0.1630222222275204,0.7261827309767405,0.7454123032675849,0.2247111111111111,0.20551084792084165,0.9148611233817207,0.03137257695198059,0.11167119789918263,0.7796175291803148,33.66668250004295,0.0,0.019943181818181818,352,1,0.3196,0.23984375,0,,,,0,0.0,33.66668250004295,8.283991600037552,11.322315700002946,0
2,fgsm_zero,1.9946272012498643,0.24553333332538604,0.9032445154719883,0.8464104852994283,0.20702222220632766,0.249456009833018,0.9185179745568169,0.03137257695198059,0.0600225854145156,0.7301110093646579,32.811289499979466,0.02,0.039943181818181815,352,1,0.3866,0.22890625,0,,,,0,0.0,32.811289499979466,8.293479100102559,11.213601500028744,0
3,fgsm_zero,1.9166020027160644,0.2730000000105964,0.8999719955762228,0.8489977204110888,0.22275555553966098,0.2884186050097148,0.9166850669542949,0.03137257695198059,0.05345024416181776,0.7218990717993842,32.57187919993885,0.04,0.05994318181818181,352,1,0.4742,0.290625,0,,,,0,0.0,32.57187919993885,8.248099599964917,11.366557399975136,0
4,fgsm_zero,1.8286559625413683,0.30488888891008165,0.8872107278188069,0.8403464027404786,0.25457777779367236,0.3273898754755656,0.9169815090285407,0.03137257695198059,0.05125871915618579,0.721798585764567,33.25505080004223,0.06,0.07994318181818182,352,1,0.4872,0.30390625,0,,,,0,0.0,33.25505080004223,9.070489599951543,11.754102800041437,0
5,fgsm_zero,1.7695272827572293,0.3266888888994853,0.8729212961514791,0.8317253587616814,0.2597555555635028,0.354825270318985,0.9165094306310018,0.03137257695198059,0.051309855101505916,0.7258484595616659,33.09456420002971,0.08,0.0999431818181818,352,1,0.4976,0.31171875,0,,,,0,0.0,33.09456420002971,8.61714089999441,11.559789100079797,0
6,fgsm_zero,1.7142599766201443,0.34537777779897055,0.8556149602890014,0.8236597498999702,0.27351111110051474,0.3770548522260454,0.9135098790698581,0.03137257695198059,0.04962949614127477,0.7234790571954515,33.105386100010946,0.09999999999999999,0.11994318181818181,352,1,0.5342,0.3078125,0,,,,0,0.0,33.105386100010946,8.77989120001439,13.335412499960512,0
7,fgsm_zero,1.6708891497082181,0.3610888889100817,0.8419309368345472,0.8166029354625278,0.27815555555555554,0.3896461357275645,0.9112987311999003,0.03137257694602013,0.04890982905030251,0.7225097749816047,36.352470400044695,0.12,0.13994318181818183,352,1,0.5654,0.3546875,0,,,,0,0.0,36.352470400044695,8.770296200062148,12.123868499998935,0
8,fgsm_zero,1.6457179338243273,0.3711333333545261,0.830368915494283,0.8128136633343167,0.2834000000105964,0.3983934847778744,0.9098261117405362,0.03137257695198059,0.045586447402503755,0.7155869698948331,33.63875459996052,0.13999999999999999,0.15994318181818182,352,1,0.6136,0.35390625,0,,,,0,0.0,33.63875459996052,8.583866100059822,11.486075899912976,0
9,fgsm_zero,1.619182734129164,0.3812888889153798,0.8158943644417657,0.8062496581289503,0.2901111111164093,0.4091896814134386,0.9072318762673272,0.03137257694602013,0.04437140775521596,0.7132497251616584,32.83279640006367,0.16,0.17994318181818184,352,1,0.5854,0.3328125,0,,,,0,0.0,32.83279640006367,9.208695399924181,11.84619090007618,0
10,fgsm_zero,1.6212007479349773,0.37804444443384805,0.8088021051936679,0.8033743176990085,0.2935333333333333,0.4146402681827545,0.9069725524160597,0.03137257695198059,0.04427380023863581,0.7132604478518169,33.36408090009354,0.18,0.19994318181818183,352,1,0.5674,0.33671875,0,,,,0,0.0,33.36408090009354,8.224301700014621,11.204014000017196,0
