epoch,batch,global_step,lr,window_samples,train_adv_loss,train_adv_acc,free_gradient_cosine,free_gradient_sign_agreement,free_prediction_disagreement,free_attack_loss_gain,free_boundary_fraction,free_delta_linf,control_gradient_participation_ratio,control_gradient_entropy,label_pgd10_acc,label_pgd10_seconds,label_seed,label_batches,adaptive_gradient_cosine_drop,adaptive_gradient_sign_drop,adaptive_train_accuracy_rise,adaptive_train_loss_drop,adaptive_cosine_accuracy_divergence,relative_window,seed
17,200,5832,0.2686931818181818,2560,1.610813444852829,0.381640625,0.7754240214824677,0.8012946009635925,0.28671875,0.4144341483712196,0.9108806818723678,0.0313725769519805,0.0353407949209213,0.6892538875341415,0.3515625,0.3540567000163719,17005832,1,0.0022210806608199407,-0.009675469994544939,-0.0015624999999999667,-0.0017922163009644887,0.000658580660819974,-10,17
17,220,5852,0.2675568181818181,2560,1.6313016176223756,0.373046875,0.7736879289150238,0.7928250819444657,0.301171875,0.4117503777146339,0.9032197535037996,0.0313725769519805,0.0389303875155746,0.6990869700908661,0.390625,0.3541296999901533,17005852,1,0.003957173228263833,-0.0004404723644256814,-0.008593750000000011,-0.02048817276954651,-0.004636576771736178,-9,17
17,240,5872,0.2664204545454545,2560,1.576359117031097,0.398828125,0.7341125279664993,0.7908409327268601,0.296484375,0.4162355870008468,0.9136897027492524,0.0313725769519805,0.0316618965938687,0.6777929157018662,0.34375,0.3541987999342382,17005872,1,0.04131149351596841,0.0015436768531799094,0.01874999999999999,0.03445432782173197,0.0600614935159684,-8,17
17,260,5892,0.2652840909090909,2560,1.6011784255504609,0.40234375,0.7515749931335449,0.790936803817749,0.285546875,0.434438282251358,0.9097684383392334,0.0313725769519805,0.0342545378953218,0.6881599247455596,0.3828125,0.3539257000666111,17005892,1,0.022112935781478882,0.0014478057622909768,0.02070312499999999,0.00784280300140372,0.04281606078147887,-7,17
17,280,5912,0.2641477272727272,2560,1.6095581948757172,0.37734375,0.7530126869678497,0.7899813562631607,0.282421875,0.3944494366645813,0.9105779141187668,0.0313725769519805,0.0341174944303929,0.6896680116653442,0.4140625,0.3541339000221342,17005912,1,0.020675241947174072,0.0024032533168792947,-0.004296875000000033,-0.008379769325256303,0.01637836694717404,-6,17
17,300,5932,0.2630113636363636,2560,1.5524225771427154,0.4078125,0.7308081090450287,0.7751528590917587,0.29375,0.442112523317337,0.9040195643901824,0.0313725769519805,0.0369121682830154,0.6972187936306,0.3828125,0.3540152999339625,17005932,1,0.022204577922821045,0.015783944725990318,0.02617187500000001,0.0571356177330018,0.048376452922821056,-5,17
17,320,5952,0.2618749999999999,2560,1.6164082288742063,0.394921875,0.7551520884037017,0.7833228051662445,0.2671875,0.424424535036087,0.9055533319711684,0.0313725769519805,0.0384853017516434,0.7039387047290802,0.3515625,0.3547645000508055,17005952,1,-0.003577095270156816,0.0075181275606155396,-0.00390625,-0.015229803323745461,-0.007483345270156816,-4,17
17,340,5972,0.2607386363636363,2560,1.5923363149166108,0.38671875,0.6166217863559723,0.7553899317979813,0.26171875,0.3817474782466888,0.9112738490104676,0.0313725769519805,0.0275874374434351,0.6687604814767838,0.375,0.3543720999732613,17005972,1,0.1349532067775726,0.03459142446517938,-0.012109374999999978,0.008842110633850098,0.12284383177757263,-3,17
17,352,5984,0.2600568181818182,1480,1.5284685927468378,0.4168918925362664,0.5844350574789821,0.7460858490016009,0.2844594594594594,0.3914942203341303,0.9073737160579578,0.0313725769519805,0.0277973766765884,0.6680088085097236,0.265625,0.361484199995175,17005984,1,0.16713993565456287,0.03723695616464362,0.02197001753626643,0.07270983280362309,0.1891099531908293,-2,17
18,20,6004,0.2589204545454545,2560,1.4092544972896577,0.475390625,0.2491634871810674,0.681084594130516,0.2078125,0.3263336561620235,0.9134675592184068,0.0313725769519805,0.0204326129052788,0.6137031078338623,0.265625,0.363347899983637,17006004,1,0.4816446218639613,0.09406826496124265,0.08046875000000003,0.18308181762695308,0.5621133718639613,-1,17
18,40,6024,0.2577840909090909,2560,1.2650900781154633,0.520703125,0.056773325218819,0.6283631801605225,0.165234375,0.2325790509581566,0.9197410821914672,0.0313725769519805,0.0234368040692061,0.6157395154237747,0.09375,0.3641221999423578,17006024,1,0.5598484611371534,0.1270267516374588,0.11289062500000002,0.2873324990272521,0.6727390861371534,0,17
18,60,6044,0.2566477272727273,2560,1.54055894613266,0.4359375,0.1916868722066283,0.6530699640512466,0.231640625,0.3790459923446178,0.913727593421936,0.0313725769519805,0.0382727112621068,0.6905505955219269,0.2109375,0.367710700025782,17006044,1,0.3927481852723538,0.09301588495035429,0.01904560746373357,-0.012090353385822317,0.41179379273608735,1,17
18,80,6064,0.2555113636363637,2560,1.468909603357315,0.4484375,0.2259910933673382,0.6700576990842819,0.2234375,0.3466447040438652,0.9086757838726044,0.0313725769519805,0.0383751582354307,0.6934942424297332,0.203125,0.3549548001028597,17006064,1,0.02317239381372921,0.011026895046234109,0.012500000000000011,0.059558989389522754,0.03567239381372922,2,17
18,100,6084,0.2543749999999999,2560,1.239808452129364,0.546875,0.078472167532891,0.6047708064317703,0.157421875,0.2352548234164714,0.9138181269168854,0.0313725769519805,0.0350206770002841,0.67226582467556,0.125,0.3545810000505298,17006084,1,0.1475189258344472,0.06528689265251164,0.09843750000000001,0.22910115122795105,0.2459564258344472,3,17
18,120,6104,0.2532386363636363,2560,1.1710160732269288,0.569140625,0.0393724146415479,0.5713395655155182,0.157421875,0.2252648297697305,0.9163320094347,0.0313725769519805,0.035933178756386,0.6779489338397979,0.0703125,0.3543715999694541,17006104,1,0.1523144575650804,0.08173039853572839,0.09374999999999994,0.23823842406272888,0.24606445756508036,4,17
23,100,7844,0.154375,2560,1.470731008052826,0.431640625,0.7682203978300095,0.7689496546983718,0.294921875,0.448124161362648,0.9032426357269288,0.0313725769519805,0.0384077964350581,0.700657069683075,0.4296875,0.3543107000878081,23007844,1,-0.029483318328857422,-0.011135736107826144,-0.014843749999999989,-0.01045328974723847,-0.04432706832885741,-10,23
23,120,7864,0.1532386363636363,2560,1.4643194019794463,0.422265625,0.7402600347995758,0.7494451105594635,0.3015625,0.4446641892194748,0.9001178920269013,0.0313725769519805,0.0387562980875372,0.7012433171272278,0.4140625,0.3543406000826508,23007864,1,-0.0015229552984237227,0.008368808031082198,-0.02421875000000001,-0.00404168367385882,-0.025741705298423734,-9,23
23,140,7884,0.1521022727272727,2560,1.4833918809890747,0.435546875,0.7451432436704636,0.7634684443473816,0.290234375,0.4487113341689109,0.9001100093126297,0.0313725769519805,0.0352396093308925,0.6918912559747696,0.421875,0.353880799957551,23007884,1,-0.006406164169311501,-0.011139804124832176,-0.002343749999999978,-0.019072479009628385,-0.008749914169311479,-8,23
23,160,7904,0.150965909090909,2560,1.4913749635219573,0.432421875,0.7408929228782654,0.7454070031642914,0.3140625,0.4393703907728195,0.9006927698850632,0.0313725769519805,0.0380491554737091,0.7003662317991257,0.4296875,0.354104800033383,23007904,1,-0.000632888078689553,0.012406915426254272,-0.003124999999999989,-0.020643955469131336,-0.003757888078689542,-7,23
23,180,7924,0.1498295454545454,2560,1.425137847661972,0.4546875,0.7367569863796234,0.7444366633892059,0.28046875,0.4346665054559707,0.9038363307714462,0.0313725769519805,0.0397408232092857,0.7049650311470032,0.453125,0.35412739997264,23007924,1,0.004135936498641968,0.007378140091896079,0.02226562500000001,0.045593160390853926,0.02640156149864198,-6,23
23,200,7944,0.1486931818181818,2560,1.4334675788879394,0.42734375,0.7175402730703354,0.7369812250137329,0.313671875,0.4491801276803017,0.8976060450077057,0.0313725769519805,0.0369327956810593,0.698024109005928,0.3828125,0.3538091999944299,23007944,1,0.02335264980792995,0.012463885545730635,-0.005078124999999989,0.03726342916488656,0.01827452480792996,-5,23
23,220,7964,0.1475568181818182,2560,1.4985510289669035,0.428125,0.7324153244495392,0.7525235682725906,0.284765625,0.4560706540942192,0.8966376155614852,0.0313725769519805,0.0377649337053298,0.7001864314079285,0.4296875,0.3544179000891745,23007964,1,0.007844710350036643,-0.0071165651082991666,-0.004296875000000033,-0.03423162698745719,0.00354783535003661,-4,23
23,240,7984,0.1464204545454545,2560,1.4853245437145233,0.423046875,0.7366951942443848,0.75521000623703,0.316796875,0.445324957370758,0.9043252497911454,0.0313725769519805,0.0397270316258072,0.7051051378250122,0.40625,0.3542063999921083,23007984,1,6.179213523860305e-05,-0.009803003072738625,-0.009375000000000022,-0.001932662725448564,-0.00931320786476142,-3,23
23,260,8004,0.1452840909090909,2560,1.4172250211238862,0.455859375,0.6853583633899689,0.7243540674448014,0.275390625,0.4154762357473373,0.9013291865587234,0.0313725769519805,0.0372840831056237,0.699433097243309,0.40625,0.3596711000427603,23008004,1,0.05133683085441587,0.021052935719490073,0.027734375000000033,0.06809952259063712,0.0790712058544159,-2,23
23,280,8024,0.1441477272727272,2560,1.3621434569358826,0.4765625,0.5660854369401932,0.6948131769895554,0.253125,0.4062597006559372,0.899986919760704,0.0313725769519805,0.0384154936298728,0.7061354011297226,0.390625,0.3541531999362632,23008024,1,0.16632988750934596,0.04962348639965053,0.04843750000000002,0.07132412195205684,0.21476738750934599,-1,23
23,300,8044,0.1430113636363636,2560,1.0421666145324706,0.622265625,0.2017828190699219,0.5961717158555985,0.134765625,0.2175331093370914,0.9109373897314073,0.0313725769519805,0.0321501516737043,0.6867868602275848,0.03125,0.3545480000320822,23008044,1,0.5157574540004135,0.1408095091581344,0.19414062500000007,0.3913009643554688,0.7098980790004136,0,23
23,320,8064,0.141875,2560,1.0785067975521088,0.600390625,0.0870570893399417,0.5709758996963501,0.15390625,0.2674460351467133,0.9143594354391098,0.0313725769519805,0.0328472858294844,0.6805532664060593,0.09375,0.3541145999915898,23008064,1,0.5983012740500272,0.15337816774845126,0.14453124999999994,0.3387182235717774,0.7428325240500271,1,23
