epoch,lr,train_loss,train_acc,epoch_seconds,val_clean_acc
1,0.1,2.2386953202989366,0.2074,19.070109999971464,0.3138
2,0.09997532801828658,1.6247608063379924,0.38706666666666667,18.615686499979347,0.4614
3,0.09990133642141358,1.3777150098164876,0.49233333333333335,18.467079199966975,0.528
4,0.099778098230154,1.1556339149051242,0.5876222222222223,18.285701300017536,0.5784
5,0.0996057350657239,0.9783547024091085,0.6555111111111112,18.477244699955918,0.6502
6,0.09938441702975688,0.8318777572419909,0.7073777777777778,18.225288899964653,0.7134
7,0.09911436253643444,0.7163884967486064,0.7489555555555556,19.068360499921255,0.7042
8,0.09879583809693737,0.645659338649114,0.7773555555555556,18.390982900047675,0.7118
9,0.09842915805643156,0.5865782615025839,0.7971777777777778,18.545776700018905,0.7278
10,0.09801468428384716,0.5484688563876682,0.8110444444444445,18.134765900089405,0.7526
11,0.09755282581475769,0.523674388800727,0.8193111111111111,18.10030489997007,0.7988
12,0.09704403844771128,0.49720735469924077,0.8299555555555556,18.65543709998019,0.8174
13,0.09648882429441258,0.4788705021540324,0.8355555555555556,18.868452799972147,0.803
14,0.09588773128419906,0.4550221325450473,0.8458444444444444,18.703045200090855,0.7706
15,0.09524135262330098,0.45028996024661594,0.8457555555555556,18.46789140009787,0.7754
16,0.0945503262094184,0.42822297433217366,0.8538666666666667,18.63844460004475,0.7776
17,0.09381533400219319,0.4244492429362403,0.8551555555555556,18.546959699946456,0.8306
18,0.0930371013501972,0.40341765495936077,0.8630222222222222,19.237277399981394,0.8052
19,0.09221639627510078,0.39956723571353486,0.8625111111111111,18.533184200059623,0.7906
20,0.09135402871372812,0.3905345230791304,0.8658,18.721545699983835,0.8092
21,0.09045084971874741,0.3818854905234443,0.8702888888888889,18.355170900002122,0.8234
22,0.08950775061878455,0.3716914956834581,0.8740888888888889,18.409750999999233,0.7882
23,0.08852566213878948,0.3662160652187135,0.8737555555555555,18.258470700006,0.8212
24,0.087505553481523,0.35716053415934246,0.8767333333333334,18.741065100068226,0.8452
25,0.0864484313710706,0.34765163786146375,0.8834666666666666,18.649197199963965,0.83
26,0.08535533905932739,0.3391217597325643,0.8830666666666667,18.540858599939384,0.8296
27,0.08422735529643445,0.3444718122906155,0.8817333333333334,18.48752039996907,0.824
