epoch,train_adv_loss,train_adv_acc,epoch_seconds,lr_start,lr_end,val_clean_acc,val_fgsm_acc,val_pgd10_acc,monitor_batches
1,2.2442883741590713,0.16686666666666666,31.376039599999785,0.0,0.026590909090909096,0.2674,0.17890625,0.09765625,10
2,1.9253295803917778,0.2707777777777778,30.34229449997656,0.02666666666666667,0.05325757575757576,0.382,0.24296875,0.19375,10
3,1.6603258232752482,0.37546666666666667,30.238234599935822,0.05333333333333334,0.07992424242424243,0.2858,0.22421875,0.04375,10
4,1.2818962416754829,0.5504444444444444,30.219065099954605,0.08000000000000002,0.1065909090909091,0.3934,0.221875,0.03359375,10
5,1.0406305865075853,0.6394,30.31768199999351,0.10666666666666667,0.13325757575757577,0.4598,0.2296875,0.0015625,10
6,0.9144941553115845,0.6850222222222222,30.51057059993036,0.13333333333333333,0.1599242424242424,0.5066,0.50390625,0.0,10
7,0.7666602534400092,0.7422222222222222,30.549289399990812,0.16000000000000003,0.1865909090909091,0.474,0.39921875,0.0,10
8,0.6542123715294732,0.7804444444444445,30.732608699938282,0.18666666666666668,0.18674242424242424,0.542,0.51015625,0.0,10
9,0.5692947187317742,0.8098888888888889,30.258043100009672,0.18666666666666668,0.16007575757575757,0.494,0.6359375,0.0,10
10,0.48240006667243107,0.8426444444444444,30.334769399953075,0.16000000000000003,0.1334090909090909,0.6244,0.6453125,0.0,10
11,0.4300084036297268,0.8598666666666667,30.272733199992217,0.13333333333333336,0.10674242424242425,0.6184,0.65625,0.0,10
12,0.3514052148024241,0.8845777777777778,30.479787099990062,0.10666666666666669,0.08007575757575758,0.2496,0.75078125,0.0,10
13,0.38517665603425766,0.873,30.679213399998844,0.07999999999999999,0.05340909090909092,0.62,0.81640625,0.0,10
14,0.2788032334751553,0.9098222222222222,30.522166899987496,0.05333333333333332,0.02674242424242426,0.5086,0.8453125,0.0,10
15,0.22287845425075956,0.9264666666666667,30.246323599945754,0.02666666666666666,7.575757575759568e-05,0.5494,0.84921875,0.0,10
