epoch,train_adv_loss,train_adv_acc,epoch_seconds,lr_start,lr_end,val_clean_acc,val_pgd10_acc,monitor_batches
1,2.190895805697971,0.18931111111111112,144.50520829996094,0.1,0.1,0.3032,0.24140625,10
2,2.0076406479941475,0.24655555555555556,143.66607520007528,0.1,0.1,0.3998,0.27578125,10
3,1.9337820556852552,0.27124444444444445,143.9896257999353,0.1,0.1,0.43,0.28984375,10
4,1.8651626013437907,0.2952,144.12837459996808,0.1,0.1,0.4872,0.3234375,10
5,1.8077717061572605,0.3173111111111111,143.58375300001353,0.1,0.1,0.531,0.33046875,10
6,1.7561328725179037,0.3380222222222222,143.80367090005893,0.1,0.1,0.5434,0.33671875,10
7,1.7095251684612698,0.35142222222222225,144.37332210002933,0.1,0.1,0.5602,0.359375,10
8,1.6723445281346638,0.3674222222222222,144.2282344000414,0.1,0.1,0.5778,0.3578125,10
9,1.6452096869574653,0.37826666666666664,143.64425300003495,0.1,0.1,0.5894,0.3953125,10
10,1.6170013353771633,0.38864444444444446,144.73079119995236,0.1,0.1,0.6234,0.39296875,10
11,1.599101956431071,0.3939111111111111,143.87978789990302,0.1,0.1,0.6366,0.4,10
12,1.5757223530663385,0.4029111111111111,143.18769420008175,0.1,0.1,0.6544,0.41328125,10
13,1.5666976220872668,0.40895555555555557,143.68424870003946,0.1,0.1,0.6466,0.39921875,10
14,1.5493365672217474,0.41633333333333333,143.6462215000065,0.1,0.1,0.6624,0.421875,10
15,1.5343004386689927,0.4187111111111111,143.18247260001954,0.1,0.1,0.6828,0.41640625,10
16,1.5243312852859496,0.4206,143.78618019993883,0.1,0.1,0.68,0.42421875,10
17,1.5143735633850097,0.4287111111111111,143.77602170000318,0.1,0.1,0.6734,0.4265625,10
18,1.5041320187038845,0.4314222222222222,143.27812779997475,0.1,0.1,0.6522,0.40703125,10
19,1.4969808956570096,0.4331333333333333,143.27704790001735,0.1,0.1,0.6804,0.41640625,10
20,1.4923733079486423,0.43591111111111114,142.77116719994228,0.1,0.1,0.6918,0.4265625,10
21,1.481099026107788,0.4396888888888889,143.15599460003432,0.1,0.1,0.6874,0.4203125,10
22,1.4746149105919732,0.4421777777777778,143.01688290003221,0.1,0.1,0.6906,0.42734375,10
23,1.4673672065734864,0.4441555555555556,143.75692439998966,0.1,0.1,0.669,0.42265625,10
24,1.4609552303526137,0.4468666666666667,143.4003221000312,0.1,0.1,0.6914,0.44453125,10
25,1.4563939673317803,0.4481777777777778,143.79725140007213,0.1,0.1,0.6594,0.41015625,10
26,1.4489646914588081,0.44984444444444444,142.98329240002204,0.1,0.1,0.7138,0.434375,10
27,1.445991873190138,0.4504888888888889,143.70523920003325,0.1,0.1,0.716,0.4359375,10
