epoch,batch,global_step,lr,window_samples,train_adv_loss,train_adv_acc,free_gradient_cosine,free_gradient_sign_agreement,free_prediction_disagreement,free_attack_loss_gain,free_boundary_fraction,free_delta_linf,control_gradient_participation_ratio,control_gradient_entropy,label_pgd10_acc,label_pgd10_seconds,label_seed,label_batches
1,20,20,0.0007196969696969698,2560,2.8691947937011717,0.0,0.04984525814652443,0.5090132594108582,0.209765625,0.5568763524293899,0.6009205043315887,0.03137257695198059,0.24905043244361877,0.8859028995037079,0.0,9.949844099930488,17000020,1
1,40,40,0.0014772727272727272,2560,2.6427440643310547,0.00546875,0.10317300073802471,0.5243634760379792,0.30546875,0.4284767836332321,0.6005691707134246,0.03137257695198059,0.24318226501345636,0.883998715877533,0.015625,7.851735199918039,17000040,1
1,60,60,0.002234848484848485,2560,2.390942668914795,0.041015625,0.3013941615819931,0.5799921900033951,0.234375,0.2228492170572281,0.6001526117324829,0.03137257695198059,0.2244906671345234,0.8765565752983093,0.0234375,7.691402400028892,17000060,1
1,80,80,0.0029924242424242426,2560,2.2684752464294435,0.120703125,0.5695167765021324,0.6571590602397919,0.197265625,0.12772078290581704,0.6004664361476898,0.03137257695198059,0.17875691875815392,0.850512433052063,0.125,7.974025799892843,17000080,1
1,100,100,0.00375,2560,2.228504943847656,0.153515625,0.7167800575494766,0.7059806942939758,0.194921875,0.11122138313949108,0.6005693048238754,0.03137257695198059,0.14327428936958314,0.8229955285787582,0.171875,7.600612899987027,17000100,1
1,120,120,0.004507575757575758,2560,2.1923052787780763,0.1625,0.7760081321001053,0.7325648218393326,0.165625,0.11428698226809501,0.6004462093114853,0.03137257695198059,0.12682769857347012,0.8090453892946243,0.1484375,7.512494200025685,17000120,1
1,140,140,0.005265151515151515,2560,2.1781457901000976,0.158984375,0.8234124064445496,0.7561990290880203,0.20703125,0.1281928438693285,0.6013108789920807,0.03137257695198059,0.11403125785291195,0.7938203901052475,0.1484375,7.716750300023705,17000140,1
1,160,160,0.006022727272727273,2560,2.146372079849243,0.18671875,0.8462175041437149,0.7740083247423172,0.22734375,0.14220413714647293,0.6009965419769288,0.03137257695198059,0.10654227398335933,0.7825703114271164,0.140625,7.682158699957654,17000160,1
1,180,180,0.0067803030303030315,2560,2.141932559013367,0.20625,0.8551642537117005,0.78560551404953,0.190625,0.13761415258049964,0.6010419428348541,0.03137257695198059,0.10223472714424134,0.779101574420929,0.203125,7.680750800063834,17000180,1
1,200,200,0.007537878787878788,2560,2.116152858734131,0.1953125,0.8660472452640533,0.7946963131427764,0.2015625,0.16823619678616525,0.5999786555767059,0.03137257695198059,0.09390527121722698,0.7686820924282074,0.1484375,7.8087796999607235,17000200,1
