epoch,train_adv_loss,train_adv_acc,free_gradient_cosine,free_gradient_sign_agreement,free_prediction_disagreement,free_attack_loss_gain,free_boundary_fraction,free_delta_linf,control_gradient_participation_ratio,control_gradient_entropy,epoch_seconds,lr_start,lr_end,val_clean_acc,val_pgd10_acc,diag_rs_prediction_disagreement,diag_gradient_cosine,diag_gradient_sign_agreement,diag_clean_rs_jsd,diag_rs1_accuracy,diag_rs2_accuracy,clean_eval_seconds,diagnostic_seconds,pgd_monitor_seconds,diagnostic_batches,pgd_monitor_batches,monitor_seed,batch_pgd_label_seconds,estimated_core_epoch_seconds
1,2.1974241466946074,0.17033333333333334,0.7213458838992649,0.7435813043276469,0.2049777777698305,0.20616745999124314,0.6017077242851258,0.03137257695198059,0.1266344945920838,0.7981391772905986,177.40352239995264,0.0,0.013295454545454548,0.3492,0.25234375,0.00390625,0.9802819788455963,0.9096806943416595,0.006575506180524826,0.28125,0.27734375,8.177593200001866,7.81719480000902,11.077826600056142,2,10,1700001,143.9198484995868,33.48367390036583
2,1.949397288301256,0.2585333333174388,0.9159044768969218,0.8547059939490425,0.20282222224341498,0.24790475931167602,0.6036903050104777,0.03137257695198059,0.07578669196632173,0.757328474246131,171.92526970000472,0.013333333333333334,0.02662878787878788,0.4058,0.26640625,0.01171875,0.9841420650482178,0.9286295771598816,0.009457177482545376,0.296875,0.2890625,8.011111200088635,7.430461999960244,11.18037950003054,2,10,1700002,139.69762300001457,32.227646699990146
3,1.8741621818754408,0.28824444444444447,0.9174806536886427,0.8624576227082147,0.2148000000052982,0.2953586888366275,0.6012897110409207,0.03137257694602013,0.07174156407250298,0.757009775129954,173.46354010002688,0.02666666666666667,0.03996212121212121,0.4742,0.30390625,0.0,0.9773151874542236,0.9198023974895477,0.011131381150335073,0.359375,0.359375,7.988273499999195,7.5743965000147,11.013092499924824,2,10,1700003,141.31570330017712,32.147836799849756
4,1.7834500783072578,0.3189111111217075,0.9063854266696506,0.854075252172682,0.23368888890478345,0.3366522810353173,0.6002045705053541,0.03137257695198059,0.06559981694089041,0.7513923941718208,171.90500829997472,0.04000000000000001,0.05329545454545455,0.5222,0.309375,0.015625,0.9765497148036957,0.922922819852829,0.013394691981375217,0.38671875,0.37890625,8.390529199969023,7.39528389996849,11.43229180003982,2,10,1700004,139.95059149956796,31.95441680040676
5,1.712359550666809,0.34757777780426874,0.8916255927085877,0.8451998172654046,0.2480888888835907,0.3643521264447106,0.5971123667081197,0.03137257695198059,0.06359669455157387,0.7499027144961887,172.9187742000213,0.05333333333333334,0.06662878787878788,0.5668,0.32265625,0.01953125,0.9784458875656128,0.9255346059799194,0.013984788209199905,0.421875,0.4140625,8.05534770002123,7.637627399992198,10.941828900016844,2,10,1700005,141.01558520039544,31.903188999625854
6,1.639472334543864,0.3746000000052982,0.8770347930908203,0.8366016834576925,0.257644444460339,0.38507689650853477,0.5966085688696967,0.03137257695198059,0.060217309773630566,0.7449812902980381,172.48822130006738,0.06666666666666667,0.0799621212121212,0.5968,0.3390625,0.00390625,0.976090133190155,0.9262098073959351,0.017691105604171753,0.421875,0.41796875,8.383615299942903,7.657370300032198,11.377994399983436,2,10,1700006,140.26207779999822,32.226143500069156
7,1.5848615729226005,0.3932888888782925,0.861601377222273,0.8289276472727458,0.27035555555025736,0.39959130867322284,0.5949329557418823,0.03137257695198059,0.056546963376469084,0.739227191236284,173.32142339996062,0.08000000000000002,0.09329545454545456,0.6102,0.34609375,0.0078125,0.9736335277557373,0.9225044548511505,0.017751876264810562,0.421875,0.42578125,8.08645709999837,7.673129400005564,11.155417600064538,2,10,1700007,140.95044290006626,32.37098049989436
8,1.548757676463657,0.40746666666666664,0.8495958734300402,0.8222740513059829,0.2739555555820465,0.4084064577685462,0.5932704907735189,0.03137257694602013,0.05313923584487703,0.7330062503814697,173.07383280002978,0.09333333333333334,0.10662878787878789,0.612,0.34296875,0.0078125,0.9663558900356293,0.9159787893295288,0.01957215927541256,0.4609375,0.46484375,8.379904499975964,7.820571499993093,11.411703299963847,2,10,1700008,141.1047423001146,31.969090499915183
9,1.52120457994673,0.4184666666613685,0.8367326107766894,0.8169519886652629,0.2771111111164093,0.41494343293507896,0.5924370790905422,0.03137257695198059,0.05084281884431839,0.7283071560541788,170.96474289998878,0.10666666666666667,0.11996212121212123,0.642,0.375,0.0078125,0.9647009074687958,0.9155095815658569,0.01952633261680603,0.453125,0.45703125,7.936364100081846,7.514409499941394,11.068958700052463,2,10,1700009,138.71143149991985,32.253311400068924
10,1.4971166533576117,0.42833333333863155,0.8260025986247592,0.811627298672994,0.27991111112435657,0.42221103614171346,0.5911113852394951,0.03137257695198059,0.04903688197665745,0.7252817103809781,173.09735629998613,0.12,0.13329545454545455,0.6372,0.38203125,0.00390625,0.9770358502864838,0.9300079643726349,0.02234459761530161,0.46875,0.46875,8.168513900018297,7.618937500054017,11.055813500075601,2,10,1700010,141.32832019997295,31.76903610001318
