epoch=004 loss=1.9249 clean=0.4456 pgd10=0.2758 diag_cos=0.9779 diag_disagree=0.0039 free_cos=0.8838 train_s=37.9 diag_s=7.9 pgd_s=11.3
epoch=005 loss=1.8730 clean=0.4556 pgd10=0.2805 diag_cos=0.9718 diag_disagree=0.0078 free_cos=0.8779 train_s=37.7 diag_s=8.0 pgd_s=11.5
epoch=006 loss=1.8203 clean=0.4976 pgd10=0.2914 diag_cos=0.9775 diag_disagree=0.0078 free_cos=0.8697 train_s=37.9 diag_s=8.0 pgd_s=11.8
epoch=007 loss=1.7686 clean=0.5226 pgd10=0.3187 diag_cos=0.9765 diag_disagree=0.0117 free_cos=0.8601 train_s=38.1 diag_s=10.2 pgd_s=12.0
epoch=008 loss=1.7356 clean=0.5600 pgd10=0.3328 diag_cos=0.9673 diag_disagree=0.0078 free_cos=0.8489 train_s=38.2 diag_s=8.2 pgd_s=11.5
epoch=009 loss=1.6938 clean=0.5464 pgd10=0.3266 diag_cos=0.9480 diag_disagree=0.0039 free_cos=0.8337 train_s=38.0 diag_s=8.0 pgd_s=11.4
epoch=010 loss=1.6823 clean=0.5456 pgd10=0.3500 diag_cos=0.9638 diag_disagree=0.0078 free_cos=0.8243 train_s=37.7 diag_s=8.2 pgd_s=11.5
epoch=011 loss=1.6627 clean=0.5636 pgd10=0.3203 diag_cos=0.9505 diag_disagree=0.0078 free_cos=0.8116 train_s=38.3 diag_s=8.0 pgd_s=11.8
epoch=012 loss=1.6665 clean=0.5674 pgd10=0.3445 diag_cos=0.9584 diag_disagree=0.0078 free_cos=0.8099 train_s=38.1 diag_s=8.5 pgd_s=11.9
epoch=013 loss=1.6632 clean=0.5804 pgd10=0.3328 diag_cos=0.9570 diag_disagree=0.0078 free_cos=0.8065 train_s=37.8 diag_s=8.8 pgd_s=12.3
epoch=014 loss=1.6576 clean=0.5556 pgd10=0.3219 diag_cos=0.9413 diag_disagree=0.0156 free_cos=0.8065 train_s=38.0 diag_s=7.9 pgd_s=12.1
epoch=015 loss=1.6630 clean=0.5836 pgd10=0.3281 diag_cos=0.9657 diag_disagree=0.0039 free_cos=0.8018 train_s=38.0 diag_s=8.4 pgd_s=11.6
epoch=016 loss=1.6551 clean=0.5696 pgd10=0.3391 diag_cos=0.9501 diag_disagree=0.0117 free_cos=0.7980 train_s=37.7 diag_s=8.2 pgd_s=11.5
epoch=017 loss=1.6262 clean=0.6008 pgd10=0.3414 diag_cos=0.9354 diag_disagree=0.0000 free_cos=0.7920 train_s=37.9 diag_s=7.9 pgd_s=11.7
epoch=018 loss=1.6072 clean=0.6206 pgd10=0.3516 diag_cos=0.9148 diag_disagree=0.0156 free_cos=0.7827 train_s=38.1 diag_s=8.4 pgd_s=11.7
epoch=019 loss=1.5758 clean=0.6078 pgd10=0.3398 diag_cos=0.9042 diag_disagree=0.0234 free_cos=0.7190 train_s=38.3 diag_s=8.2 pgd_s=11.8
epoch=020 loss=1.4427 clean=0.6002 pgd10=0.0141 diag_cos=0.0713 diag_disagree=0.1250 free_cos=0.4222 train_s=37.9 diag_s=7.8 pgd_s=11.6
epoch=021 loss=0.8864 clean=0.7120 pgd10=0.0000 diag_cos=0.0555 diag_disagree=0.2109 free_cos=-0.0106 train_s=37.8 diag_s=8.1 pgd_s=11.4
epoch=022 loss=0.7672 clean=0.6172 pgd10=0.0000 diag_cos=0.0458 diag_disagree=0.1875 free_cos=-0.0073 train_s=38.0 diag_s=8.0 pgd_s=11.4
epoch=023 loss=0.5637 clean=0.5890 pgd10=0.0000 diag_cos=0.0501 diag_disagree=0.2812 free_cos=-0.0007 train_s=38.2 diag_s=8.4 pgd_s=12.3
epoch=024 loss=0.4427 clean=0.6510 pgd10=0.0000 diag_cos=0.0481 diag_disagree=0.1992 free_cos=0.0032 train_s=37.6 diag_s=8.4 pgd_s=11.9
epoch=025 loss=0.3364 clean=0.6862 pgd10=0.0008 diag_cos=0.0355 diag_disagree=0.1094 free_cos=0.0050 train_s=38.0 diag_s=8.1 pgd_s=11.4
epoch=026 loss=0.2815 clean=0.7682 pgd10=0.0000 diag_cos=0.0387 diag_disagree=0.1328 free_cos=0.0049 train_s=38.0 diag_s=8.0 pgd_s=11.5
epoch=027 loss=0.2518 clean=0.7234 pgd10=0.0000 diag_cos=0.0304 diag_disagree=0.0859 free_cos=nan train_s=37.7 diag_s=8.0 pgd_s=11.7
epoch=028 loss=0.1923 clean=0.7736 pgd10=0.0000 diag_cos=0.0239 diag_disagree=0.1133 free_cos=0.0050 train_s=37.9 diag_s=7.9 pgd_s=11.5
epoch=029 loss=0.1546 clean=0.8066 pgd10=0.0000 diag_cos=0.0318 diag_disagree=0.0703 free_cos=0.0044 train_s=38.4 diag_s=8.4 pgd_s=11.9
epoch=030 loss=0.1132 clean=0.8254 pgd10=0.0000 diag_cos=0.0322 diag_disagree=0.0430 free_cos=nan train_s=38.2 diag_s=8.4 pgd_s=11.9
runs=2 features=5 mode=eval
output=publication\forecast_analysis\adaptive_resnet18_holdout_eval
resnet18_detector_completed=2026-09-04T11:36:37.5217718+08:00
