epoch,method,train_adv_loss,train_adv_acc,gradalign_loss,val_clean_acc,val_pgd10_acc,core_training_seconds,online_monitor_seconds,clean_eval_seconds,pgd_monitor_seconds,lr_start,lr_end,fastadv_triggers_epoch,fastadv_triggers_total,pgd_training_batches_epoch,pgd_training_batches_total,pgd_remaining
1,gradalign,2.220203533299764,0.16246666666931575,0.023653715994622973,0.3434,0.23125,91.72127919999184,0.0,8.670769799995469,12.98043699999107,0.0,0.019943181818181818,0,0,0,0,0
2,gradalign,1.9928768154356216,0.24677777778042687,0.0021560332365747957,0.39,0.24453125,91.27514399999927,0.0,8.490519099999801,11.570922899991274,0.02,0.039943181818181815,0,0,0,0,0
3,gradalign,1.9161738389968872,0.2706888888835907,0.0022747749829457866,0.4592,0.27421875,91.16965049999999,0.0,8.31009699999413,11.353492499998538,0.04,0.05994318181818181,0,0,0,0,0
4,gradalign,1.8359504092534382,0.30233333332803514,0.002403150666173961,0.5026,0.28828125,91.27017590000469,0.0,9.001154400000814,11.179289199993946,0.06,0.07994318181818182,0,0,0,0,0
5,gradalign,1.7646542450798883,0.32557777779102326,0.002804569469764829,0.4946,0.31171875,91.16806739999447,0.0,8.226778899988858,11.59219930000836,0.08,0.0999431818181818,0,0,0,0,0
6,gradalign,1.7099057817247179,0.34913333333333335,0.0030498405100570784,0.577,0.34765625,91.058772400007,0.0,8.312453799997456,11.262576799999806,0.09999999999999999,0.11994318181818181,0,0,0,0,0
7,gradalign,1.6750884470409817,0.3596000000132455,0.0034226965895129574,0.569,0.34609375,91.58944700000575,0.0,8.35776359999727,11.542531300001428,0.12,0.13994318181818183,0,0,0,0,0
8,gradalign,1.644926280339559,0.3730222222275204,0.003843049947420756,0.5602,0.3328125,91.3525501999975,0.0,9.393190000002505,11.767715699999826,0.13999999999999999,0.15994318181818182,0,0,0,0,0
9,gradalign,1.6295234507666694,0.3789333333439297,0.003901239518986808,0.6206,0.346875,90.94508060000953,0.0,8.59953159998986,11.535077300010016,0.16,0.17994318181818184,0,0,0,0,0
10,gradalign,1.6175351728015477,0.3827333333333333,0.004114517671946022,0.5776,0.33046875,91.38132220000261,0.0,8.627710700005991,11.1431273999915,0.18,0.19994318181818183,0,0,0,0,0
11,gradalign,1.6234794656541613,0.3802222222328186,0.004117751989927557,0.5848,0.34453125,91.11740230000578,0.0,8.613137600012124,11.58879710000474,0.19999999999999998,0.21994318181818182,0,0,0,0,0
12,gradalign,1.6226338863160874,0.3809333333174388,0.004122594578191638,0.5984,0.33203125,91.5673589999933,0.0,8.350556400007918,11.54438749999099,0.21999999999999997,0.2399431818181818,0,0,0,0,0
13,gradalign,1.623631431134542,0.3802444444709354,0.004125453235208988,0.5918,0.3484375,90.96058339999581,0.0,8.391815599999973,11.332619699998759,0.24,0.2599431818181818,0,0,0,0,0
14,gradalign,1.6256197679307727,0.37911111113760204,0.004157983110803697,0.5866,0.340625,91.04918940000061,0.0,9.24442380000255,11.524227200003224,0.26,0.2799431818181818,0,0,0,0,0
15,gradalign,1.6355040096494886,0.3768444444656372,0.004135296227534612,0.6062,0.34921875,91.4210555000027,0.0,8.433256399992388,11.251640600006795,0.27999999999999997,0.2999431818181818,0,0,0,0,0
16,gradalign,1.6282799336115519,0.381,0.004185797508474853,0.5914,0.375,90.92083990000538,0.0,8.42120129999239,11.385747599997558,0.3,0.2800568181818182,0,0,0,0,0
