run,input,windows,collapse_detected,collapse_window_index,collapse_global_step
dev_collapse_screen_eps12_seed17,E:\人工智能导论论文\outputs_publication\dev_collapse_screen_eps12_seed17\batch_metrics.csv,60,False,,
dev_collapse_screen_eps16_seed17,E:\人工智能导论论文\outputs_publication\dev_collapse_screen_eps16_seed17\batch_metrics.csv,60,False,,
