comparison,metric,mean_difference,bootstrap_95_low,bootstrap_95_high,paired_seeds
rollback_minus_no_rollback,clean,0.00048000000000001373,-3.999999999997339e-05,0.0010000000000000009,5
rollback_minus_no_rollback,pgd10,0.0010937500000000044,-0.005156249999999996,0.00765625000000002,5
rollback_minus_no_rollback,minutes,0.5309523763340736,0.37420324933326937,0.6731819929989676,5
no_rollback_minus_fixed13,clean,-0.0023600000000000066,-0.004479999999999995,-0.0007200000000000317,5
no_rollback_minus_fixed13,pgd10,0.003125000000000011,-0.0026562499999999933,0.007187500000000013,5
no_rollback_minus_fixed13,minutes,-1.2271153950015345,-1.7142803626654008,-0.6646499290057235,5
no_rollback_minus_fixed21,clean,0.007399999999999985,0.002279999999999993,0.012960000000000017,5
no_rollback_minus_fixed21,pgd10,0.009687500000000005,0.0026562499999999933,0.016718750000000015,5
no_rollback_minus_fixed21,minutes,0.2970514446647705,-0.20576904999909473,0.8889819369937697,5
no_rollback_minus_full_pgd2,clean,-0.004840000000000022,-0.008679999999999998,-0.0010000000000000453,5
no_rollback_minus_full_pgd2,pgd10,-0.0009374999999999911,-0.004218750000000005,0.0026562500000000154,5
no_rollback_minus_full_pgd2,minutes,-3.4593717316684818,-3.9625753446654066,-2.8900291813409047,5
no_rollback_minus_fastadvplus,clean,0.011239999999999983,0.010519999999999974,0.012159999999999994,5
no_rollback_minus_fastadvplus,pgd10,-0.003750000000000009,-0.011093750000000013,0.0034374999999999822,5
no_rollback_minus_fastadvplus,minutes,-9.124015319335498,-11.87578382299975,-5.860479113006149,5
no_rollback_minus_gradalign,clean,0.035439999999999985,0.03124,0.038839999999999965,5
no_rollback_minus_gradalign,pgd10,-0.015937500000000004,-0.018281250000000006,-0.013750000000000017,5
no_rollback_minus_gradalign,minutes,-27.56556995300217,-28.00438251299847,-27.083171800341226,5
