method,seeds,clean_mean,clean_sample_std,pgd10_mean,pgd10_sample_std,training_minutes_mean,training_minutes_sample_std
"Adaptive, no rollback",5,0.83088,0.005652610016620642,0.4671875,0.010525151238521473,18.144129984664808,0.5780064306848255
Adaptive + rollback,5,0.8313599999999999,0.006224789153055681,0.46828125,0.0055408197582803645,18.67508236099888,0.6955187736695587
Fixed switch epoch 13,5,0.83324,0.007033349131103881,0.4640625,0.0049718445552179155,19.37124537966634,0.21261566124993272
Fixed switch epoch 21,5,0.82348,0.011196070739326375,0.4574999999999999,0.009384760544028288,17.847078540000034,0.20678382764486697
Full PGD-2,5,0.83572,0.01024363216832778,0.468125,0.00903349344972641,21.60350171633329,0.13202383556727687
FastAdv+,5,0.8196399999999999,0.005982307247208233,0.47093749999999995,0.007147476882176662,27.268145304000303,3.528962347037214
GradAlign,5,0.79544,0.00864453584641765,0.48312499999999997,0.008073756676727384,45.70969993766698,0.10926447826259023
